Polarization of Light 'theta' Data File Tue, Jan 23, 2018 9:58 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.17017	0.06925
0.17017	0.07682
0.17017	0.07086
0.17017	0.07633
0.17017	0.07488
0.17017	0.07505
0.17017	0.07021
0.17017	0.06973
0.17017	0.07698
0.17017	0.07633
0.17017	0.07488
0.17017	0.07166
0.17017	0.07021
0.17017	0.07182
0.17017	0.08407
0.17017	0.07263
0.17017	0.07488
0.17017	0.07505
0.17890	0.08665
0.18326	0.08487
0.18326	0.08729
0.18326	0.08874
0.18326	0.08487
0.18326	0.08826
0.18326	0.08568
0.18326	0.08842
0.18326	0.08584
0.18326	0.08133
0.18326	0.08987
0.18326	0.08922
0.18326	0.08648
0.18326	0.08810
0.18326	0.09083
0.18326	0.08858
0.18326	0.08810
0.18326	0.08890
0.18326	0.08777
0.19199	0.09696
0.19199	0.09535
0.19199	0.09937
0.19199	0.09422
0.19199	0.09470
0.19199	0.10743
0.19199	0.09583
0.19199	0.09470
0.19199	0.09921
0.19199	0.09986
0.19199	0.10082
0.19199	0.09615
0.19199	0.10115
0.20071	0.10243
0.20508	0.11017
0.20508	0.11065
0.20508	0.11194
0.20508	0.11339
0.20508	0.11323
0.20508	0.11258
0.20508	0.11130
0.20508	0.11226
0.20508	0.11275
0.20508	0.11242
0.20508	0.11081
0.20508	0.11307
0.20508	0.11210
0.20508	0.11242
0.20508	0.10840
0.20508	0.11081
0.20508	0.11371
0.20508	0.11001
0.20508	0.11194
0.20508	0.10711
0.20508	0.11258
0.21380	0.12032
0.21380	0.12676
0.21380	0.12080
0.21380	0.12757
0.21380	0.12386
0.21380	0.12225
0.21380	0.12354
0.21380	0.12290
0.21380	0.12080
0.21380	0.12386
0.21380	0.11806
0.21380	0.12306
0.21380	0.12580
0.21380	0.12064
0.21380	0.12467
0.21380	0.12096
0.21380	0.12596
0.21380	0.12515
0.21380	0.12370
0.21380	0.12644
0.21380	0.11903
0.21380	0.12177
0.21817	0.12918
0.22253	0.13514
0.22689	0.13772
0.22689	0.13498
0.22689	0.13321
0.22689	0.13611
0.22689	0.13788
0.22689	0.13127
0.22689	0.13756
0.22689	0.13369
0.22689	0.13321
0.23126	0.13997
0.23126	0.13949
0.23126	0.14175
0.23126	0.14320
0.23126	0.13868
0.23126	0.14030
0.23126	0.13820
0.23126	0.14303
0.23126	0.13627
0.23126	0.14239
0.23126	0.14094
0.23126	0.14352
0.23126	0.13643
0.23126	0.14207
0.23126	0.14368
0.23126	0.14287
0.23126	0.13981
0.23126	0.14303
0.23126	0.14465
0.23126	0.14352
0.23126	0.14287
0.23126	0.13949
0.23126	0.14400
0.23126	0.14142
0.23126	0.14513
0.23126	0.14223
0.23126	0.14191
0.23126	0.14529
0.23126	0.13917
0.23126	0.14303
0.23126	0.14416
0.23126	0.14158
0.23126	0.13756
0.23126	0.14481
0.24435	0.15963
0.24871	0.15995
0.24871	0.15786
0.24871	0.15705
0.24871	0.15480
0.25307	0.16414
0.25307	0.16801
0.25307	0.16769
0.25307	0.16495
0.25307	0.16752
0.25307	0.16720
0.25307	0.16752
0.25307	0.16366
0.25307	0.16656
0.25307	0.16511
0.25307	0.16704
0.25307	0.16543
0.25307	0.16817
0.25307	0.16736
0.25307	0.16607
0.25307	0.16591
0.25307	0.16865
0.25307	0.16785
0.25307	0.16382
0.25307	0.16656
0.25307	0.16801
0.25307	0.16156
0.25307	0.16172
0.25307	0.16624
0.25307	0.16575
0.25307	0.16253
0.25307	0.16720
0.25307	0.16591
0.25744	0.16962
0.26180	0.17767
0.26180	0.18299
0.26180	0.18219
0.26180	0.17816
0.26180	0.18267
0.26180	0.18412
0.26180	0.18009
0.26180	0.18573
0.26180	0.17993
0.26180	0.18202
0.26180	0.18331
0.26180	0.18106
0.26180	0.18202
0.26180	0.17816
0.26180	0.17735
0.26180	0.17912
0.26180	0.18235
0.26180	0.18267
0.26180	0.18347
0.26180	0.18251
0.26180	0.17767
0.26180	0.18460
0.26180	0.18235
0.26180	0.18090
0.26180	0.18315
0.27489	0.19056
0.27925	0.20281
0.27925	0.19572
0.27925	0.20571
0.27925	0.20442
0.27925	0.20635
0.27925	0.20522
0.27925	0.20394
0.27925	0.20555
0.29234	0.21811
0.29671	0.23100
0.30107	0.23245
0.30107	0.22859
0.30107	0.23116
0.30107	0.22971
0.30107	0.23310
0.30107	0.23455
0.30107	0.23390
0.30107	0.23116
0.30543	0.23793
0.30543	0.24260
0.30543	0.23857
0.30543	0.24115
0.30543	0.23696
0.30543	0.24002
0.30543	0.24002
0.31416	0.24405
0.31416	0.25082
0.31852	0.25485
0.31852	0.25742
0.31852	0.25726
0.31852	0.25710
0.31852	0.25517
0.31852	0.25775
0.31852	0.25726
0.31852	0.25823
0.32289	0.26000
0.32289	0.26693
0.32289	0.26435
0.32289	0.26532
0.32289	0.26677
0.32289	0.26500
0.32289	0.26564
0.32289	0.26580
0.32289	0.26677
0.32289	0.26145
0.32289	0.26564
0.32725	0.27112
0.32725	0.27064
0.32725	0.27466
0.32725	0.26935
0.32725	0.26741
0.32725	0.26983
0.32725	0.27354
0.32725	0.27064
0.32725	0.27305
0.32725	0.26822
0.32725	0.26693
0.32725	0.27595
0.32725	0.27563
0.32725	0.27112
0.32725	0.27531
0.32725	0.27515
0.32725	0.26983
0.32725	0.27096
0.32725	0.27644
0.32725	0.27112
0.32725	0.27418
0.32725	0.27499
0.32725	0.27450
0.32725	0.27611
0.32725	0.27547
0.32725	0.27482
0.32725	0.27225
0.32725	0.27547
0.32725	0.27289
0.32725	0.27257
0.32725	0.26999
0.32725	0.27015
0.32725	0.27499
0.32725	0.27370
0.32725	0.26951
0.32725	0.27354
0.32725	0.27547
0.32725	0.27386
0.32725	0.27692
0.32725	0.26902
0.32725	0.26951
0.32725	0.27466
0.32725	0.27515
0.32725	0.27192
0.32725	0.26999
0.32725	0.27015
0.32725	0.26967
0.32725	0.27192
0.32725	0.27080
0.32725	0.26757
0.32725	0.27128
0.32725	0.27176
0.32725	0.26661
0.32725	0.26999
0.32725	0.26999
0.32725	0.27386
0.32725	0.26854
0.32725	0.27064
0.32725	0.27192
0.32725	0.27337
0.32725	0.26886
0.32725	0.27112
0.32725	0.27128
0.32725	0.26741
0.32725	0.27225
0.32725	0.27064
0.32725	0.26580
0.32725	0.27047
0.32725	0.26645
0.32725	0.27225
0.32725	0.26838
0.32725	0.27015
0.32725	0.26838
0.32725	0.26564
0.32725	0.27257
0.32725	0.27128
0.32725	0.27015
0.32725	0.27080
0.32725	0.27112
0.32725	0.27305
0.32725	0.26919
0.32725	0.26612
0.32725	0.26645
0.32725	0.26435
0.32725	0.27015
0.32725	0.26693
0.32725	0.27031
0.32725	0.27112
0.32725	0.26838
0.32725	0.27241
0.32725	0.27434
0.32725	0.26693
0.32725	0.26822
0.33598	0.27176
0.34907	0.29657
0.35779	0.31204
0.36216	0.32090
0.36216	0.32267
0.36216	0.32332
0.36216	0.32090
0.36216	0.31526
0.36216	0.32203
0.36216	0.31881
0.36216	0.32300
0.36216	0.32042
0.36216	0.31961
0.36216	0.32267
0.36216	0.32106
0.36216	0.32686
0.36216	0.31687
0.36216	0.31510
0.36216	0.31816
0.36216	0.32171
0.36216	0.32058
0.36216	0.31478
0.36216	0.32090
0.36216	0.31655
0.36216	0.32074
0.36216	0.32187
0.36216	0.32106
0.36216	0.31881
0.36216	0.31655
0.36216	0.31542
0.35779	0.30785
0.35779	0.31172
0.35779	0.31172
0.35779	0.30914
0.35779	0.30995
0.35779	0.30834
0.35779	0.30850
0.35779	0.30672
0.35779	0.30721
0.35779	0.31043
0.35779	0.30898
0.35779	0.31027
0.35779	0.30624
0.35779	0.31333
0.35779	0.30930
0.35779	0.31075
0.35779	0.31365
0.35779	0.31285
0.35779	0.31252
0.35779	0.30995
0.35779	0.31027
0.35779	0.31011
0.34907	0.29577
0.33598	0.27579
0.33161	0.26757
0.33161	0.27096
0.33161	0.27418
0.33161	0.27466
0.33161	0.27595
0.33161	0.27144
0.33161	0.26919
0.33161	0.26806
0.33161	0.27080
0.33161	0.27370
0.33161	0.26822
0.33161	0.27241
0.33161	0.27337
0.33598	0.27756
0.34470	0.29657
0.35343	0.30415
0.35343	0.30866
0.35343	0.30479
0.35343	0.30608
0.35343	0.30850
0.35343	0.30286
0.35343	0.30334
0.35343	0.30511
0.35343	0.30237
0.35343	0.30672
0.35343	0.30946
0.35343	0.30366
0.35343	0.30769
0.37525	0.33717
0.38834	0.35119
0.38834	0.35119
0.38834	0.35699
0.38834	0.35506
0.38834	0.35361
0.38834	0.35506
0.38834	0.35731
0.38834	0.35780
0.38834	0.35699
0.38834	0.35619
0.38834	0.35651
0.38834	0.36231
0.38834	0.35248
0.38834	0.35522
0.38834	0.35570
0.38834	0.35651
0.38834	0.35570
0.38834	0.35441
0.38834	0.35796
0.38834	0.35425
0.38834	0.35844
0.38834	0.35989
0.38834	0.35312
0.39706	0.36730
0.40579	0.38696
0.41015	0.39453
0.41015	0.39695
0.41015	0.39646
0.41015	0.39066
0.41015	0.39292
0.41015	0.39018
0.41015	0.39518
0.41015	0.39324
0.41015	0.38986
0.41015	0.39711
0.41015	0.39534
0.41015	0.39421
0.41015	0.39211
0.41015	0.39260
0.41015	0.39421
0.41015	0.39308
0.41015	0.39179
0.41015	0.39260
0.41015	0.39485
0.41015	0.39534
0.41015	0.39018
0.41015	0.39292
0.42324	0.41241
0.43633	0.42659
0.43633	0.43207
0.43633	0.43288
0.43633	0.43046
0.43633	0.43207
0.43633	0.43046
0.43633	0.43255
0.43633	0.43062
0.43633	0.42901
0.43633	0.43143
0.43633	0.43207
0.43633	0.42563
0.43633	0.43465
0.43633	0.43207
0.43633	0.43126
0.43633	0.43239
0.43633	0.43465
0.43633	0.42756
0.43633	0.42724
0.43633	0.42949
0.43633	0.43239
0.43633	0.42998
0.43633	0.43255
0.43633	0.42933
0.43633	0.42643
0.43633	0.43336
0.43633	0.42708
0.43633	0.43159
0.43633	0.43126
0.43633	0.42836
0.43633	0.43143
0.43633	0.42901
0.43633	0.42820
0.44942	0.44206
0.45815	0.46204
0.47124	0.47702
0.47124	0.47331
0.47124	0.47928
0.47124	0.47638
0.47124	0.47525
0.47124	0.47670
0.47124	0.47911
0.47124	0.47460
0.47124	0.47380
0.47124	0.47847
0.47124	0.47895
0.47997	0.49136
0.47997	0.48959
0.47997	0.49378
0.47997	0.49523
0.47997	0.48975
0.47997	0.49378
0.47997	0.49426
0.47997	0.49539
0.47997	0.49088
0.47997	0.49200
0.47997	0.49055
0.47997	0.48943
0.47997	0.49361
0.47997	0.49361
0.47997	0.49297
0.47997	0.48846
0.47124	0.48137
0.46251	0.46864
0.45815	0.45978
0.45815	0.46365
0.45815	0.45591
0.45815	0.46220
0.45379	0.44705
0.45379	0.44738
0.45379	0.44705
0.45379	0.44480
0.45379	0.44689
0.44942	0.44625
0.44070	0.43964
0.43633	0.42321
0.42324	0.40484
0.41452	0.38744
0.40579	0.38357
0.39706	0.37197
0.38834	0.35651
0.38397	0.34797
0.37525	0.33669
0.36216	0.32203
0.35779	0.31140
0.34907	0.29996
0.34034	0.28675
0.32725	0.26580
0.32725	0.26580
0.32725	0.26645
0.32725	0.26484
0.32725	0.26645
0.32725	0.26419
0.33598	0.27482
0.35343	0.30254
0.37088	0.33315
0.38834	0.35699
0.39706	0.36875
0.41015	0.39034
0.41888	0.40178
0.42761	0.41225
0.43633	0.42514
0.44942	0.44415
0.45815	0.46075
0.46688	0.46832
0.46688	0.47154
0.46688	0.46655
0.46688	0.46977
0.46688	0.47380
0.46688	0.47348
0.46688	0.47025
0.46688	0.48008
0.46688	0.47251
0.46688	0.46977
0.46688	0.47396
0.48433	0.50264
0.49742	0.51472
0.50178	0.51971
0.50178	0.51762
0.50178	0.51810
0.50178	0.52229
0.50178	0.51681
0.50178	0.52390
0.50178	0.52471
0.51051	0.53405
0.51487	0.53583
0.52360	0.54581
0.52796	0.55178
0.52796	0.55178
0.52796	0.54694
0.52796	0.55210
0.52796	0.55194
0.52796	0.55145
0.52796	0.55242
0.52796	0.55033
0.52796	0.54920
0.54105	0.56628
0.54542	0.57804
0.54542	0.57320
0.54542	0.57449
0.54542	0.57191
0.54542	0.57498
0.54542	0.57659
0.54542	0.57288
0.54542	0.57788
0.54542	0.57707
0.54542	0.57610
0.54542	0.57804
0.54542	0.57691
0.54542	0.57336
0.54542	0.57610
0.55414	0.58239
0.55851	0.58931
0.55851	0.59076
0.55851	0.59318
0.55851	0.59366
0.55851	0.59431
0.55851	0.58690
0.55851	0.59366
0.55851	0.59334
0.55851	0.58690
0.55851	0.59350
0.55851	0.59125
0.55851	0.58803
0.55851	0.59157
0.55851	0.59028
0.55851	0.59028
0.57160	0.60736
0.58469	0.61912
0.59778	0.63346
0.59778	0.63862
0.59778	0.63427
0.59778	0.63765
0.59778	0.63829
0.59778	0.63700
0.59778	0.63572
0.59778	0.63749
0.59778	0.63330
0.59778	0.63733
0.59778	0.63588
0.59778	0.63427
0.59778	0.63056
0.59778	0.63378
0.59778	0.63137
0.59778	0.63523
0.59778	0.63572
0.59778	0.63024
0.59778	0.63314
0.59778	0.63636
0.59778	0.63185
0.59778	0.63749
