# Polarization of Light 'Brewsters' Data File Thu, Jan 25, 2018 10:40 AM
# Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.69468
180.00000	0.69919
180.00000	0.69952
180.00000	0.69259
180.00000	0.69871
180.00000	0.69645
180.00000	0.70161
180.00000	0.69935
180.00000	0.70097
180.00000	0.69597
180.00000	0.70209
180.00000	0.69726
180.00000	0.69726
180.00000	0.69871
180.00000	0.69678
180.00000	0.69807
180.00000	0.70145
180.00000	0.70596
180.00000	0.70403
180.00000	0.70097
180.00000	0.70451
180.00000	0.70467
180.00000	0.69694
180.00000	0.69774
180.00000	0.69823
180.00000	0.70048
180.00000	0.69629
180.00000	0.69790
180.00000	0.69694
180.00000	0.69823
180.00000	0.69710
180.00000	0.70000
180.00000	0.69694
180.00000	0.69807
180.00000	0.70080
180.00000	0.70016
180.00000	0.70000
180.00000	0.69517
180.00000	0.69823
180.00000	0.69645
180.00000	0.69710
180.00000	0.69452
180.00000	0.69984
180.00000	0.70016
180.00000	0.69758
180.00000	0.69678
180.00000	0.69645
180.00000	0.70097
180.00000	0.70080
180.00000	0.69871
180.00000	0.69935
180.00000	0.70419
180.00000	0.70483
180.00000	0.69887
180.00000	0.70193
180.00000	0.69919
180.00000	0.70274
180.00000	0.69855
180.00000	0.69807
180.00000	0.69533
180.00000	0.69372
180.00000	0.70080
180.00000	0.69517
180.00000	0.69581
180.00000	0.70064
180.00000	0.71015
180.00000	0.71385
180.00000	0.72078
180.01667	0.71563
180.05000	0.70370
180.21667	0.69420
180.55000	0.65763
180.81667	0.61300
181.03333	0.50022
181.26667	0.21135
181.40000	0.04105
181.45000	0.02623
181.48333	0.01995
181.56667	0.00190
181.75000	-0.00197
181.98333	-0.00084
182.28333	-0.00052
182.63333	-0.00180
183.01667	-0.00068
183.46667	-0.00052
183.98333	-0.00035
184.66667	-0.00164
185.31667	-0.00116
185.83333	-0.00148
186.40000	-0.00052
186.88333	-0.00309
187.41667	-0.00164
187.76667	-0.00325
188.15000	-0.00422
188.71667	-0.00309
189.18333	-0.00116
189.51667	-0.00213
189.68333	-0.00325
189.73333	-0.00132
189.76667	-0.00068
189.81667	0.00013
189.88333	-0.00116
190.08333	-0.00406
190.40000	-0.00503
190.73333	-0.00035
191.18333	-0.00277
191.78333	-0.00277
192.26667	-0.00213
192.68333	-0.00454
193.11667	-0.00422
193.61667	-0.00148
194.23333	-0.00309
195.00000	-0.00277
195.46667	-0.00132
195.55000	-0.00213
195.53333	-0.00261
195.51667	-0.00084
195.48333	-0.00374
195.43333	-0.00454
195.13333	-0.00180
194.55000	-0.00180
193.70000	-0.00052
192.66667	-0.00342
191.53333	-0.00132
190.33333	-0.00035
188.98333	-0.00342
187.65000	-0.00358
186.66667	-0.00180
185.86667	-0.00406
185.33333	-0.00261
184.91667	-0.00019
184.45000	-0.00164
183.98333	-0.00309
183.38333	-0.00229
182.83333	0.00045
182.43333	-0.00035
181.93333	-0.00342
181.51667	-0.00068
181.25000	0.03831
181.15000	0.12547
181.15000	0.12692
181.15000	0.09615
