# Polarization of Light 'Brewsters' Data File Thu, Jan 25, 2018 10:09 AM
# Sensor Position (Degrees)	Light Intensity (Volts)
182.05000	0.84887
182.05000	0.83920
182.05000	0.80923
182.06667	0.75719
182.08333	0.66488
182.11667	0.67487
182.13333	0.65376
182.15000	0.71144
182.16667	0.77234
182.18333	0.77749
182.20000	0.76734
182.21667	0.75768
182.23333	0.72690
182.25000	0.69001
182.26667	0.64264
182.31667	0.58883
182.38333	0.58690
182.45000	0.58867
182.50000	0.64393
182.53333	0.66133
182.55000	0.75349
182.56667	0.75236
182.58333	0.76042
182.58333	0.78539
182.58333	0.80375
182.60000	0.80472
182.60000	0.81648
182.61667	0.81616
182.61667	0.81407
182.63333	0.81535
182.63333	0.81648
182.63333	0.81181
182.65000	0.80939
182.65000	0.81133
182.65000	0.81535
182.65000	0.82212
182.65000	0.83147
182.66667	0.83259
182.66667	0.82663
182.68333	0.83179
182.68333	0.82631
182.70000	0.82615
182.71667	0.82695
182.71667	0.82550
182.73333	0.82567
182.76667	0.81954
182.78333	0.82019
182.80000	0.81729
182.81667	0.80875
182.83333	0.80585
182.85000	0.79328
182.86667	0.78507
182.88333	0.78619
182.91667	0.77701
182.93333	0.77524
182.96667	0.77588
183.00000	0.77008
183.01667	0.76267
183.05000	0.73979
183.08333	0.67422
183.11667	0.64796
183.13333	0.63990
183.15000	0.63378
183.16667	0.64957
183.18333	0.66198
183.20000	0.59205
183.20000	0.66955
183.21667	0.66762
183.21667	0.66053
183.21667	0.68695
183.21667	0.72062
183.21667	0.72433
183.23333	0.74833
183.23333	0.76332
183.23333	0.77540
183.23333	0.77653
183.23333	0.77765
183.23333	0.77862
183.23333	0.78072
183.23333	0.77894
183.23333	0.76992
183.25000	0.77765
183.25000	0.77653
183.25000	0.78007
183.25000	0.77572
183.25000	0.77927
183.25000	0.77798
183.26667	0.77814
183.26667	0.77862
183.26667	0.77846
183.28333	0.76767
183.28333	0.76315
183.30000	0.76170
183.30000	0.76332
183.31667	0.75413
183.33333	0.75075
183.36667	0.74672
183.38333	0.74527
183.41667	0.74865
183.43333	0.74608
183.46667	0.75027
183.48333	0.74398
183.50000	0.73673
183.51667	0.73577
183.53333	0.73560
183.53333	0.73109
183.55000	0.71917
183.56667	0.70387
183.58333	0.69581
183.60000	0.69210
183.63333	0.68099
183.66667	0.67245
183.70000	0.66439
183.71667	0.65328
183.73333	0.64135
183.75000	0.63958
183.75000	0.63733
183.76667	0.66230
183.76667	0.68856
183.76667	0.71369
183.78333	0.72352
183.78333	0.73222
183.78333	0.73351
183.78333	0.73754
183.78333	0.73399
183.80000	0.73625
183.80000	0.74285
183.80000	0.74817
183.80000	0.75494
183.80000	0.76444
183.81667	0.76783
183.81667	0.77008
183.81667	0.76718
183.83333	0.77040
183.83333	0.76960
183.85000	0.77524
183.85000	0.76976
183.86667	0.77330
183.88333	0.77443
183.90000	0.76750
183.90000	0.76944
183.91667	0.76944
183.93333	0.76348
183.93333	0.76557
183.95000	0.76541
183.95000	0.76090
183.98333	0.75752
184.00000	0.75526
184.01667	0.76251
184.01667	0.75961
184.03333	0.76042
184.05000	0.76412
184.06667	0.76460
184.10000	0.76009
184.11667	0.76509
184.13333	0.75429
184.15000	0.75284
184.16667	0.76042
184.16667	0.76187
184.18333	0.75558
184.18333	0.76009
184.20000	0.75558
184.21667	0.75526
184.21667	0.75719
184.23333	0.75977
184.23333	0.75590
184.25000	0.75252
184.25000	0.74833
184.25000	0.74511
184.26667	0.74398
184.26667	0.73722
184.28333	0.72739
184.28333	0.72626
184.30000	0.72304
184.30000	0.71273
184.30000	0.71079
184.31667	0.71047
184.31667	0.71289
184.33333	0.71917
184.33333	0.70532
184.35000	0.68050
184.35000	0.66874
184.36667	0.64941
184.36667	0.66278
184.38333	0.67422
184.38333	0.68598
184.38333	0.69823
184.40000	0.70274
184.41667	0.70274
184.45000	0.70274
184.50000	0.69565
184.51667	0.70725
184.51667	0.70677
184.53333	0.69935
184.53333	0.70612
184.55000	0.70306
184.55000	0.69871
184.56667	0.70032
184.56667	0.69742
184.56667	0.69307
184.58333	0.70161
184.58333	0.71063
184.58333	0.71418
184.60000	0.72078
184.60000	0.72723
184.61667	0.72497
184.61667	0.71869
184.61667	0.72223
184.63333	0.71853
184.65000	0.72014
184.65000	0.71675
184.65000	0.71869
184.66667	0.71450
184.66667	0.71208
184.68333	0.70048
184.68333	0.69146
184.68333	0.69098
184.70000	0.68856
184.70000	0.68824
184.71667	0.69178
184.73333	0.68840
184.75000	0.68485
184.76667	0.68775
184.78333	0.68453
184.80000	0.67889
184.81667	0.66842
184.81667	0.64893
184.83333	0.64828
184.83333	0.60285
184.85000	0.57208
184.85000	0.46284
184.85000	0.41000
184.86667	0.41966
184.86667	0.44190
184.88333	0.52906
184.88333	0.57272
184.90000	0.59141
184.90000	0.60398
184.90000	0.63443
184.90000	0.64635
184.91667	0.65473
184.91667	0.67583
184.91667	0.68405
184.93333	0.70805
184.93333	0.70854
184.93333	0.71192
184.93333	0.71740
184.95000	0.71402
184.95000	0.70999
184.96667	0.71547
184.96667	0.71450
184.96667	0.71015
184.96667	0.71128
184.98333	0.71031
184.98333	0.70580
184.98333	0.70612
185.00000	0.71095
185.00000	0.71128
185.00000	0.70822
185.00000	0.71192
185.01667	0.71079
185.01667	0.70983
185.01667	0.70967
185.03333	0.70209
185.03333	0.70338
185.03333	0.69500
185.03333	0.69710
