# Polarization of Light 'Brewsters' Data File Thu, Jan 25, 2018 10:26 AM
# Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.05330
180.00000	0.05700
180.00000	0.05297
180.00000	0.05652
180.00000	0.05539
180.00000	0.05813
180.00000	0.05136
180.00000	0.05797
180.00000	0.05765
180.00000	0.05491
180.00000	0.05748
180.00000	0.05587
180.00000	0.05603
180.00000	0.05330
180.00000	0.05539
180.00000	0.05958
180.00000	0.05330
180.00000	0.05362
180.00000	0.05684
180.00000	0.05330
180.00000	0.05797
180.00000	0.05346
180.00000	0.05281
180.00000	0.05507
180.00000	0.05587
180.00000	0.05056
180.00000	0.05620
180.00000	0.05926
180.00000	0.05668
180.00000	0.05410
180.00000	0.05539
180.00000	0.05748
180.00000	0.05845
180.00000	0.05603
180.00000	0.05603
180.00000	0.05523
180.00000	0.05136
180.00000	0.05636
180.00000	0.05297
180.00000	0.05426
180.00000	0.05442
180.00000	0.05765
180.00000	0.06345
180.00000	0.05684
180.00000	0.05410
180.00000	0.05394
180.00000	0.05120
180.00000	0.05136
180.00000	0.05571
180.00000	0.05136
180.00000	0.05813
180.00000	0.05587
180.00000	0.05458
180.00000	0.05652
180.00000	0.05313
180.00000	0.05330
180.00000	0.05555
180.00000	0.05104
180.00000	0.05056
180.00000	0.05313
180.00000	0.05249
180.00000	0.05781
180.00000	0.05636
180.00000	0.05346
180.00000	0.05249
180.00000	0.05346
180.00000	0.05877
180.00000	0.05716
180.00000	0.05458
180.00000	0.05442
180.00000	0.05281
180.00000	0.05603
180.00000	0.05120
180.00000	0.05620
180.00000	0.05813
180.00000	0.05781
180.00000	0.05845
180.00000	0.05700
180.00000	0.05732
180.00000	0.05716
180.00000	0.05700
180.00000	0.05861
180.00000	0.05523
180.00000	0.05410
180.00000	0.05056
180.00000	0.05394
180.00000	0.05362
180.00000	0.05313
180.00000	0.05475
180.00000	0.05056
180.00000	0.05571
180.00000	0.05297
180.00000	0.05313
180.00000	0.05330
180.00000	0.05104
180.00000	0.05281
180.00000	0.05168
180.00000	0.05201
180.00000	0.05507
180.00000	0.05748
180.00000	0.05555
180.00000	0.05168
180.00000	0.04524
180.00000	0.04991
180.00000	0.05571
180.00000	0.05458
180.00000	0.05555
180.00000	0.05056
180.00000	0.05007
180.00000	0.04959
180.00000	0.04959
180.00000	0.01640
180.00000	0.00174
180.00000	-0.00148
180.00000	-0.00100
180.00000	-0.00132
180.00000	-0.00197
180.00000	-0.00164
180.00000	-0.00148
180.00000	-0.00197
180.00000	-0.00277
180.00000	-0.00197
180.00000	-0.00229
180.00000	0.02204
180.00000	0.04717
180.00000	0.04927
180.00000	0.05571
180.00000	0.05571
180.00000	0.05700
180.00000	0.05765
180.00000	0.06618
180.00000	0.06683
180.00000	0.06844
180.00000	0.07070
180.00000	0.06554
180.00000	0.06538
180.00000	0.07037
180.00000	0.06941
180.00000	0.07247
180.00000	0.07698
180.00000	0.08326
180.00000	0.06506
180.01667	-0.00052
180.01667	0.00013
180.01667	0.00013
180.01667	-0.00019
180.01667	0.00126
180.01667	0.01350
180.01667	0.03106
180.01667	0.05958
180.01667	0.07311
180.01667	0.08197
180.01667	0.08761
180.01667	0.08310
180.00000	0.07343
180.00000	0.07585
180.00000	0.07553
180.00000	0.07972
180.01667	0.07891
180.01667	0.08568
180.01667	0.08729
180.01667	0.08584
180.01667	0.08648
180.01667	0.08471
180.01667	0.08455
180.00000	0.08471
180.00000	0.07746
180.00000	0.07843
180.00000	0.07891
180.00000	0.08213
180.01667	0.07714
180.01667	0.07553
180.01667	0.07360
180.00000	0.06715
180.00000	0.06167
180.01667	0.05684
180.01667	0.05942
180.01667	0.06876
180.01667	0.08149
180.01667	0.07956
180.01667	0.02881
180.01667	0.00303
180.01667	-0.00148
180.01667	-0.00100
180.01667	-0.00245
180.01667	-0.00197
180.01667	-0.00164
180.01667	0.00061
180.00000	0.05555
180.00000	0.08342
180.00000	0.07778
180.00000	0.07569
180.00000	0.07505
180.00000	0.07827
180.01667	0.07488
180.01667	0.07005
180.01667	0.06731
180.01667	0.05813
180.01667	0.06538
180.01667	0.06618
180.01667	0.06554
180.01667	0.07891
180.01667	0.06441
180.01667	0.05974
180.01667	0.06328
180.01667	0.06441
180.01667	0.06071
180.01667	0.06200
180.01667	0.05861
180.01667	0.05781
180.01667	0.04685
180.01667	0.03283
180.01667	0.02703
180.01667	0.04202
180.03333	0.04878
180.03333	0.05491
180.03333	0.05668
180.03333	0.05249
180.03333	0.05458
180.03333	0.05555
180.03333	0.05410
180.03333	0.04701
180.03333	0.05990
180.03333	0.05491
