Polarization of Light 'theta' Data File Tue, Jan 23, 2018 10:01 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	-0.00954
0.00000	-0.01115
0.00000	-0.01179
0.00000	-0.00841
0.00000	-0.01050
0.00000	-0.01292
0.00000	-0.00905
0.00000	-0.01389
0.00000	-0.00938
0.00000	-0.01131
0.00000	-0.01373
0.00000	-0.00793
0.00000	-0.01083
0.00000	-0.01469
0.00000	-0.01437
0.00000	-0.01099
0.00000	-0.01340
0.00000	-0.01002
0.00000	-0.00744
0.00000	-0.01324
0.00000	-0.00809
0.00000	-0.01034
0.00000	-0.01453
0.00000	-0.01163
0.00000	-0.01018
0.00000	-0.01050
0.00000	-0.00825
0.00000	-0.00809
0.00000	-0.00664
0.00000	-0.00938
0.00000	-0.00744
0.00000	-0.01212
0.00000	-0.00954
0.00000	-0.00889
0.00000	-0.00760
0.00000	-0.01050
0.00000	-0.01550
0.00000	-0.00857
0.00000	-0.00873
0.00000	-0.01034
0.00000	-0.01308
0.00000	-0.01002
0.00000	-0.01067
0.00000	-0.01131
0.00000	-0.01050
0.00000	-0.00986
0.00000	-0.01453
0.00000	-0.01212
0.00000	-0.00841
0.00000	-0.00873
0.00000	-0.01034
0.00000	-0.00825
0.00000	-0.01324
0.00000	-0.00970
0.00000	-0.00938
0.00000	-0.01405
0.00000	-0.01050
0.00000	-0.00954
0.00000	-0.00857
0.00000	-0.00954
0.00000	-0.00841
0.00000	-0.00793
0.00000	-0.00922
0.00000	-0.00744
0.00000	-0.00938
0.00873	-0.01179
0.00873	-0.00986
0.01309	-0.01437
0.01309	-0.00760
0.01309	-0.00986
0.01309	-0.00793
0.01309	-0.01099
0.01309	-0.01034
0.01309	-0.00954
0.01309	-0.01147
0.01309	-0.01212
0.01309	-0.01018
0.01309	-0.01260
0.01309	-0.01034
0.01309	-0.01050
0.01309	-0.01034
0.01309	-0.00809
0.01309	-0.00777
0.01309	-0.01405
0.01309	-0.01340
0.01745	-0.00857
0.02182	-0.00841
0.02182	-0.01308
0.02182	-0.01083
0.02182	-0.00809
0.02182	-0.00922
0.02182	-0.00938
0.02182	-0.00954
0.02182	-0.00986
0.02182	-0.00777
0.02182	-0.01115
0.02182	-0.00954
0.02182	-0.00760
0.02182	-0.01421
0.02182	-0.00889
0.02182	-0.01147
0.02182	-0.00905
0.02182	-0.00760
0.02182	-0.00760
0.02182	-0.01131
0.02182	-0.01469
0.02182	-0.00777
0.02618	-0.00938
0.03054	-0.00922
0.03054	-0.00793
0.03054	-0.00825
0.03054	-0.00793
0.03054	-0.00777
0.03054	-0.00970
0.03054	-0.00857
0.03054	-0.00841
0.03054	-0.00583
0.03054	-0.00889
0.03054	-0.00712
0.03054	-0.00809
0.03054	-0.01212
0.03054	-0.00583
0.03054	-0.00632
0.03054	-0.00873
0.03054	-0.01131
0.03927	-0.01195
0.04363	-0.00873
0.04800	-0.00696
0.04800	-0.00954
0.04800	-0.00680
0.04800	-0.00632
0.04800	-0.00728
0.04800	-0.00519
0.04800	-0.00535
0.04800	-0.00358
0.04800	-0.00438
0.04800	-0.01179
0.04800	-0.01115
0.04800	-0.01067
0.04800	-0.00857
0.04800	-0.00615
0.04800	-0.00470
0.04800	-0.00551
0.04800	-0.00696
0.04800	-0.00470
0.04800	-0.00648
0.05236	-0.00374
0.05672	-0.00760
0.05672	-0.00245
0.05672	-0.00213
0.05672	-0.00599
0.05672	-0.00551
0.05672	-0.00744
0.05672	-0.00229
0.05672	-0.00744
0.05672	-0.00277
0.05672	-0.00293
0.05672	-0.00293
0.05672	-0.00696
0.05672	-0.00857
0.05672	-0.00583
0.05672	-0.00325
0.05672	-0.00470
0.05672	-0.00438
0.05672	-0.00261
0.05672	-0.00309
0.05672	-0.00680
0.06109	0.00061
0.06545	0.00126
0.06545	0.00077
0.06545	0.00142
0.06545	-0.00148
0.06545	-0.00390
0.06545	-0.00358
0.06545	-0.00197
0.06545	-0.00390
0.06545	0.00077
0.06545	-0.00180
0.06545	-0.00019
0.06545	0.00077
0.06545	-0.00116
0.06545	0.00077
0.06545	-0.00197
0.06545	-0.00454
0.06545	-0.00035
0.06545	-0.00132
0.06545	-0.00358
0.06545	-0.00180
0.06545	-0.00100
0.06545	-0.00519
0.06545	-0.00132
0.06545	0.00190
0.06545	-0.00052
0.06545	-0.00213
0.06545	-0.00100
0.06545	-0.00132
0.06981	0.00061
0.06981	-0.00148
0.06981	0.00335
0.06981	-0.00229
0.06981	-0.00116
0.06981	0.00061
0.06981	0.00077
0.06981	0.00190
0.06981	-0.00035
0.06981	0.00126
0.06981	0.00206
0.06981	0.00319
0.06981	0.00287
0.06981	0.00093
0.06981	0.00222
0.06981	-0.00068
0.06981	-0.00116
0.06981	0.00190
0.07418	0.00480
0.07418	0.00255
0.07418	0.00432
0.07418	0.00383
0.07418	0.00367
0.07418	0.00335
0.07418	0.00142
0.07418	0.00255
0.07418	0.00351
0.07418	0.00013
0.07418	0.00480
0.07418	0.00367
0.07418	-0.00003
0.07418	0.00287
0.07418	-0.00293
0.07418	0.00351
0.07418	0.00432
0.07418	0.00271
0.07418	-0.00019
0.07418	0.00432
0.07418	0.00351
0.07418	0.00400
0.07418	0.00271
0.07418	0.00351
0.07418	-0.00116
0.07418	0.00013
0.07418	0.00416
0.07854	0.00464
0.07854	0.00110
0.07854	0.00303
0.07854	0.00383
0.07854	0.00528
0.07854	0.00577
0.07854	-0.00035
0.07854	0.00432
0.07854	-0.00003
0.07854	0.00206
0.07854	0.00545
0.07854	0.00673
0.07854	0.00432
0.07854	0.00271
0.07854	0.00480
0.07854	0.00625
0.08290	0.00690
0.08290	0.00480
0.08727	0.00802
0.08727	0.00883
0.08727	0.00190
0.08727	0.00722
0.08727	0.00287
0.08727	0.00464
0.08727	0.00963
0.08727	0.00255
0.08727	0.00657
0.08727	0.00400
0.08727	0.00786
0.08727	0.00706
0.08727	0.00528
0.08727	0.00657
0.08727	0.00496
0.08727	0.00690
0.08727	0.00416
0.08727	0.00271
0.08727	0.00271
0.08727	0.00867
0.09163	0.01028
0.09163	0.00432
0.09163	0.00593
0.09163	0.01044
0.09163	0.00980
0.09163	0.00545
0.09163	0.00416
0.09163	0.00512
0.09163	0.01125
0.09163	0.00883
0.09163	0.01108
0.09163	0.00561
0.09163	0.00480
0.09163	0.00835
0.09163	0.00931
0.09163	-0.00052
0.09163	0.00947
0.09163	0.00963
0.09163	0.01028
0.09163	0.00851
0.09163	0.00480
0.09599	0.01060
0.09599	0.01237
0.09599	0.01318
0.10036	0.01350
0.10036	0.01318
0.10036	0.01302
0.10036	0.00899
0.10036	0.01286
0.10036	0.01318
0.10036	0.01543
0.10036	0.01237
0.10036	0.01221
0.10036	0.01237
0.10036	0.01173
0.10036	0.01044
0.10036	0.01237
0.10036	0.01141
0.10036	0.01270
0.10036	0.00657
0.10036	0.01125
0.10036	0.01318
0.10036	0.01431
0.10036	0.01270
0.10472	0.01721
0.10472	0.01221
0.10472	0.01237
0.10472	0.01141
0.10472	0.01511
0.10472	0.01705
0.10472	0.01592
0.10472	0.01157
0.10472	0.02220
0.10472	0.01511
0.10472	0.01705
0.10472	0.01447
0.10472	0.01656
0.10472	0.01495
0.10472	0.01382
0.10472	0.01640
0.10472	0.01382
0.10472	0.01801
0.10472	0.01221
0.10472	0.01560
0.10472	0.01334
0.10472	0.01060
0.10908	0.01592
0.11345	0.02123
0.11345	0.02140
0.11345	0.01705
0.11345	0.01737
0.11345	0.02397
0.11345	0.02043
0.11345	0.01769
0.11345	0.02188
0.11345	0.01946
0.11345	0.01995
0.11345	0.01640
0.11345	0.02252
0.11345	0.02285
0.11345	0.02172
0.11345	0.02107
0.11345	0.02123
0.11345	0.01930
0.11345	0.02220
0.11345	0.02220
0.11345	0.02236
0.11345	0.01850
0.11345	0.02268
0.11345	0.02317
0.11345	0.02381
0.11345	0.02059
0.11345	0.02059
0.11345	0.02317
0.11345	0.01995
0.11345	0.01850
0.11345	0.02365
0.11345	0.02220
0.11345	0.01898
0.12217	0.02478
0.12654	0.03122
0.12654	0.03171
0.12654	0.02542
0.12654	0.02929
0.12654	0.02800
0.12654	0.03251
0.12654	0.03283
0.12654	0.02800
0.12654	0.03155
0.12654	0.03074
0.12654	0.02494
0.12654	0.02800
0.12654	0.03203
0.12654	0.02542
0.12654	0.02977
0.12654	0.03235
0.12654	0.02655
0.12654	0.03155
0.13090	0.03283
0.13526	0.03735
0.13963	0.03686
0.13963	0.03445
0.13963	0.03638
0.13963	0.03960
0.13963	0.04073
0.13963	0.03976
0.13963	0.03412
0.13963	0.03622
0.13963	0.03283
0.13963	0.03863
0.13963	0.03944
0.13963	0.03702
0.13963	0.03525
0.13963	0.04025
0.13963	0.04008
0.13963	0.04137
0.14399	0.03928
0.14835	0.04186
0.14835	0.04653
0.14835	0.04266
0.14835	0.04701
0.14835	0.04717
0.14835	0.04766
0.14835	0.04443
0.14835	0.04991
0.14835	0.04315
0.14835	0.04605
0.14835	0.04395
0.14835	0.04298
0.14835	0.04653
0.14835	0.04250
0.14835	0.04830
0.14835	0.05249
0.14835	0.04282
0.14835	0.04669
0.14835	0.04862
0.15708	0.05281
0.15708	0.05201
0.15708	0.05378
0.15708	0.05507
0.15708	0.05249
0.15708	0.05104
0.15708	0.05410
0.15708	0.05587
0.16144	0.05732
0.16144	0.05458
0.16144	0.05539
0.16144	0.05426
0.16144	0.05136
0.16144	0.05748
0.16144	0.05201
0.16144	0.05636
0.16144	0.05475
0.16144	0.05507
0.16144	0.05088
0.16581	0.05813
0.16581	0.05732
0.16581	0.06135
0.16581	0.06232
0.16581	0.06280
0.16581	0.06038
0.16581	0.05910
0.16581	0.06103
0.16581	0.06312
0.16581	0.05813
0.16581	0.05942
0.16581	0.05797
0.16581	0.06038
0.16581	0.05700
0.16581	0.06038
0.17453	0.07005
0.17453	0.07070
0.17453	0.07005
0.17453	0.06602
0.17453	0.06908
0.17453	0.06747
0.17453	0.06393
0.17453	0.07166
0.17453	0.07037
0.17453	0.07118
0.17453	0.06892
0.17453	0.07070
0.17453	0.06860
0.17453	0.06490
0.17453	0.06989
0.17453	0.07182
0.17453	0.07037
0.17453	0.06763
0.17453	0.06715
0.17890	0.07263
0.18326	0.07811
0.18326	0.07762
0.18326	0.07569
0.18326	0.07198
0.18326	0.07053
0.18326	0.07279
0.18326	0.07424
0.18326	0.07682
0.18326	0.07601
0.18326	0.07891
0.18326	0.07053
0.18326	0.07537
0.18326	0.07843
0.18326	0.07376
0.18326	0.07118
0.18326	0.07601
0.18326	0.07762
0.18326	0.07360
0.18326	0.07553
0.18326	0.07827
0.18326	0.07569
0.18326	0.07360
0.18326	0.07585
0.18326	0.07247
0.18326	0.07778
0.18326	0.07778
0.18762	0.07633
0.19199	0.08552
0.19199	0.08697
0.19199	0.08101
0.19199	0.08117
0.19199	0.07956
0.19199	0.08552
0.19199	0.08117
0.19199	0.08648
0.19199	0.08600
0.19199	0.08101
0.19199	0.08600
0.19199	0.08648
0.19635	0.09051
0.19635	0.09116
0.19635	0.08826
0.19635	0.08955
0.19635	0.09196
0.19635	0.08777
0.19635	0.08874
0.19635	0.08858
0.19635	0.08439
0.19635	0.08503
0.19635	0.08616
0.19635	0.08987
0.19635	0.08793
0.19635	0.09148
0.19635	0.09035
0.19635	0.08552
0.19635	0.08938
0.19635	0.08842
0.19635	0.09019
0.19635	0.08487
0.19635	0.08536
0.19635	0.08439
0.19635	0.08874
0.19635	0.09148
0.19635	0.09083
0.19635	0.08874
0.19635	0.08955
0.19635	0.09196
0.19635	0.08842
0.19635	0.08471
0.19635	0.08777
0.19635	0.09003
0.19635	0.08423
0.19635	0.09051
0.19635	0.09228
0.19635	0.07778
0.19635	0.08971
0.19635	0.08922
0.19635	0.08858
0.19635	0.09035
0.19635	0.08520
0.20508	0.09518
0.20508	0.09470
0.20508	0.09228
0.20508	0.09196
0.20508	0.09712
0.20508	0.09760
0.20508	0.09712
0.20944	0.09744
0.20944	0.10372
0.20944	0.10034
0.20944	0.10066
0.20944	0.10469
0.20944	0.10082
0.20944	0.10227
0.20944	0.10179
0.20944	0.10098
0.20944	0.10131
0.21380	0.10372
0.21380	0.11017
0.21380	0.10550
0.21380	0.10840
0.21380	0.10872
0.21380	0.10888
0.21380	0.11194
0.21380	0.10646
0.21380	0.10840
0.22253	0.11548
0.22689	0.11645
0.22689	0.12418
0.22689	0.12418
0.22689	0.12306
0.22689	0.12499
0.22689	0.12048
0.22689	0.12354
0.22689	0.12418
0.22689	0.11838
0.22689	0.12290
0.22689	0.12080
0.22689	0.12483
0.22689	0.12354
0.22689	0.11774
0.22689	0.12354
0.22689	0.12080
0.22689	0.11935
0.22689	0.12177
0.22689	0.12467
0.22689	0.11887
0.22689	0.12032
0.22689	0.12451
0.22689	0.11855
0.22689	0.12451
0.22689	0.11919
0.22689	0.12193
0.22689	0.12725
0.22689	0.11903
0.22689	0.12080
0.22689	0.12370
0.22689	0.11822
0.21817	0.11452
0.21817	0.10453
0.21817	0.11081
0.21817	0.11130
0.21817	0.10952
0.21817	0.11033
0.21817	0.10968
0.21817	0.10517
0.21817	0.10920
0.21817	0.11049
0.21817	0.11162
0.21817	0.11065
0.21817	0.10678
0.21817	0.10872
0.21817	0.11339
0.22253	0.11516
0.22689	0.12112
0.23126	0.12644
0.23562	0.12950
0.23998	0.13224
0.24435	0.14094
0.24435	0.14030
0.24435	0.14175
0.24871	0.14175
0.25307	0.15061
0.25307	0.15850
0.25307	0.14738
0.25307	0.15029
0.25307	0.14642
0.25307	0.14996
0.25307	0.14819
0.25307	0.15045
0.25307	0.15109
0.25307	0.15012
0.25307	0.14884
0.25307	0.14755
0.25307	0.14932
0.24871	0.14223
0.24435	0.14481
0.24435	0.14481
0.24435	0.14158
0.24435	0.14239
0.24435	0.14175
0.24435	0.14255
0.24435	0.14642
0.24435	0.14384
0.23998	0.13143
0.23562	0.12612
0.23562	0.12725
0.23562	0.12257
0.23126	0.12676
0.23126	0.12870
0.23126	0.12547
0.23126	0.12354
0.23126	0.12338
0.23126	0.12644
0.23126	0.13063
0.23126	0.12402
0.23126	0.12531
0.23126	0.12515
0.23126	0.12483
0.23126	0.12515
0.23126	0.12531
0.23126	0.13095
0.23562	0.12402
0.23562	0.13160
0.23562	0.12757
0.23998	0.13208
0.24435	0.14013
0.24435	0.14191
0.24435	0.14577
0.24435	0.14336
0.24871	0.14916
0.25307	0.14851
0.25307	0.15270
0.25307	0.14900
0.25307	0.15464
0.25307	0.15238
0.25744	0.15995
0.26180	0.16156
0.26616	0.16672
0.26616	0.16752
0.26616	0.16704
0.26616	0.16865
0.26616	0.16865
0.26616	0.16736
0.26616	0.16769
0.26616	0.16946
0.26616	0.16285
0.26616	0.16914
0.26616	0.16398
0.26616	0.16736
0.26616	0.16736
0.26616	0.16881
0.26616	0.16285
0.26616	0.16914
0.26616	0.16334
0.26616	0.16736
0.26616	0.16060
0.26616	0.16914
0.26616	0.15673
0.26616	0.16769
0.26616	0.16430
0.26616	0.16640
0.26616	0.16124
0.26616	0.16624
0.26616	0.16398
0.26616	0.15947
0.26616	0.16285
0.26616	0.16704
0.26616	0.16430
0.26616	0.16446
0.26616	0.16704
0.26616	0.16688
0.26616	0.16607
0.26616	0.16334
0.26616	0.16688
0.26616	0.16930
0.26616	0.16640
0.26616	0.16817
0.26616	0.16172
0.26616	0.16446
0.26616	0.16817
0.26616	0.16366
0.26616	0.16785
0.26616	0.16366
0.26616	0.16720
0.26616	0.16672
0.26616	0.16720
0.26616	0.16575
0.26616	0.16430
0.26616	0.16317
0.26616	0.16688
0.26616	0.16398
0.26616	0.16897
0.26616	0.16479
0.26616	0.16817
0.26616	0.16833
0.26616	0.16591
0.26616	0.16865
0.26616	0.16205
0.26616	0.16930
0.26616	0.16527
0.26616	0.16833
0.26616	0.16575
0.26616	0.16865
0.26616	0.16575
0.26616	0.17139
0.26616	0.17010
0.26616	0.16946
0.26616	0.16624
0.26616	0.16865
0.26616	0.16511
0.26616	0.16930
0.26616	0.16962
0.26616	0.17268
0.26616	0.16978
0.26616	0.17107
0.26616	0.17059
0.26616	0.17735
0.26616	0.16833
0.26616	0.17413
0.26616	0.17107
0.26616	0.16897
0.26616	0.17429
0.26616	0.16881
0.27489	0.18364
0.27489	0.18331
0.27489	0.17961
0.27489	0.17929
0.27489	0.18315
0.27489	0.18492
0.27489	0.17735
0.27489	0.18573
0.27489	0.18235
0.27489	0.18267
0.27489	0.18444
0.27489	0.18347
0.27489	0.18331
0.27489	0.18074
0.27489	0.18492
0.27489	0.18444
0.27925	0.18315
0.27925	0.18380
0.27925	0.18347
0.27925	0.18025
0.27925	0.18154
0.27925	0.18154
0.27925	0.18202
0.27925	0.18428
0.27925	0.17864
0.27925	0.18041
0.27925	0.17784
0.29234	0.19652
0.29234	0.20039
0.29234	0.19588
0.29234	0.19524
0.29234	0.19346
0.29234	0.19797
0.29234	0.19266
0.29234	0.19862
0.29234	0.19346
0.29234	0.19733
0.29234	0.19443
0.29234	0.19894
0.29234	0.19604
0.29234	0.19669
0.29234	0.19862
0.29234	0.19395
0.29234	0.19588
0.29234	0.20120
0.29234	0.19685
0.29234	0.19475
0.29234	0.19733
0.28798	0.19362
0.28362	0.18315
0.28362	0.18090
0.28362	0.18541
0.28362	0.18025
0.28362	0.18235
0.28362	0.18138
0.28362	0.18122
0.28362	0.18492
0.28362	0.18170
0.28362	0.18412
0.28362	0.18009
0.28362	0.18750
0.28362	0.18686
0.29234	0.20087
0.29671	0.20732
0.29671	0.21006
0.29671	0.20522
0.29671	0.20909
0.29671	0.20281
0.29671	0.20893
0.29671	0.20812
0.29671	0.20861
0.29671	0.20812
0.29671	0.20651
0.29671	0.20619
0.29671	0.20458
0.29671	0.20458
0.29671	0.20925
0.29671	0.20861
0.29671	0.20394
0.29671	0.20829
0.29671	0.20893
0.29671	0.20796
0.29671	0.20941
0.29671	0.20796
0.29671	0.20345
0.29671	0.21344
0.29671	0.20555
0.29671	0.20780
0.29671	0.20845
0.30543	0.21537
0.30980	0.22472
0.30980	0.22552
0.30980	0.21972
0.30980	0.22585
0.30980	0.22407
0.30980	0.22456
0.30980	0.22391
0.30980	0.22311
0.30980	0.22585
0.30980	0.21860
0.30980	0.22585
0.30980	0.22005
0.30980	0.21956
0.30980	0.22504
0.30980	0.22101
0.30980	0.22520
0.30980	0.22375
0.30980	0.22246
0.31852	0.23374
0.31852	0.23084
0.31852	0.23213
0.31852	0.23857
0.31852	0.22794
0.31852	0.23294
0.31852	0.23149
0.31852	0.23132
0.31852	0.23310
0.31852	0.22714
0.31852	0.23020
0.31852	0.23149
0.31852	0.22859
0.31852	0.23487
0.31852	0.23165
0.31852	0.22939
0.31852	0.23036
0.31852	0.22923
0.32725	0.24454
0.33161	0.24921
0.33161	0.24953
0.33161	0.25082
0.33161	0.24985
0.33161	0.25243
0.33161	0.25372
0.33161	0.24760
0.33161	0.25195
0.33161	0.24840
0.33161	0.25291
0.33161	0.24872
0.33161	0.25420
0.33161	0.25420
0.33161	0.25372
0.33161	0.24663
0.33161	0.25291
0.33161	0.25227
0.33161	0.25227
0.33161	0.25146
0.33161	0.25356
0.33161	0.25597
0.33161	0.25066
0.33161	0.25469
0.33161	0.25195
0.33161	0.25372
0.33161	0.25469
0.33161	0.25517
0.33161	0.25162
0.33161	0.25452
0.33161	0.25485
0.33161	0.25404
0.33598	0.26355
0.33598	0.26097
0.33598	0.26306
0.33598	0.26500
0.33598	0.26194
0.33598	0.26322
0.33598	0.26177
0.34470	0.27015
0.34470	0.27370
0.34470	0.26838
0.34470	0.27402
0.34470	0.26854
0.34470	0.27047
0.34470	0.26806
0.34470	0.26967
0.34470	0.27064
0.34470	0.27064
0.34470	0.27080
0.34470	0.27031
0.34470	0.27466
0.34470	0.26886
0.34470	0.27209
0.34470	0.27402
0.34470	0.26854
0.34470	0.27176
0.34470	0.26886
0.34470	0.27241
0.34470	0.26757
0.34470	0.27192
0.34470	0.27450
0.34470	0.27015
0.34470	0.27450
0.34470	0.27080
0.34470	0.27225
0.34470	0.27321
0.34470	0.26596
0.34470	0.27209
0.34470	0.27321
0.34470	0.26838
0.34470	0.27354
0.34470	0.27176
0.34470	0.27241
0.34470	0.27386
0.34470	0.27386
0.34470	0.26967
0.34470	0.27160
0.34470	0.26999
0.34470	0.27370
0.35343	0.28352
0.35343	0.28578
0.35343	0.28111
0.35343	0.28610
0.35343	0.28530
0.35343	0.28530
0.35343	0.29126
0.35343	0.28675
0.35343	0.28336
0.35343	0.28111
0.35343	0.28095
0.35343	0.28610
0.35343	0.28739
0.36216	0.29094
0.36216	0.30125
