Chart Recorder Data File Thu, Mar 15, 2018 10:27 AM
CH1 (V)  	CH2 (V)  
0.015615234	0.044433594
0.124921875	0.043457031
-0.015615234	0.041992187
0.093691406	0.041015625
-0.296689453	0.039062500
0.062460938	0.038574219
-0.062460938	0.037109375
0.031230469	0.036132812
-0.327919922	0.035156250
0.015615234	0.034667969
-0.343535156	0.033691406
3.013740234	0.034667969
3.154277344	0.033691406
3.263583984	0.033203125
3.372890625	0.032714844
3.497812500	0.031738281
3.622734375	0.031250000
3.732041016	0.031250000
3.856962891	0.030761719
3.966269531	0.030273437
4.075576172	0.029785156
4.200498047	0.029296875
4.309804687	0.028808594
4.419111328	0.028808594
4.544033203	0.028320312
4.668955078	0.028320312
4.793876953	0.027832031
4.903183594	0.027832031
5.028105469	0.027832031
5.137412109	0.027832031
5.262333984	0.027343750
5.371640625	0.027832031
5.480947266	0.027832031
5.605869141	0.027832031
5.730791016	0.027832031
5.855712891	0.027832031
5.965019531	0.028320312
6.074326172	0.028808594
6.199248047	0.028320312
6.324169922	0.029296875
6.433476563	0.029785156
6.558398438	0.030273437
6.683320313	0.029785156
6.792626953	0.030761719
6.901933594	0.031250000
7.026855469	0.031738281
7.151777344	0.032714844
7.261083984	0.033691406
7.386005859	0.033691406
7.510927734	0.033691406
7.620234375	0.034179687
7.729541016	0.034179687
7.870078125	0.034667969
7.963769531	0.035156250
8.073076172	0.034667969
8.182382813	0.035644531
8.307304688	0.035156250
8.432226563	0.036132812
8.541533203	0.036132812
8.666455078	0.036621094
8.791376953	0.036621094
8.900683594	0.036621094
9.025605469	0.037109375
9.134912109	0.037109375
9.275449219	0.038085937
9.384755859	0.038085937
9.494062500	0.038574219
9.618984375	0.039550781
9.743906250	0.039550781
9.853212891	0.040039062
9.962519531	0.040527344
10.087441406	0.041503906
10.196748047	0.041992187
10.321669922	0.042968750
10.430976562	0.043457031
10.555898437	0.044433594
10.665205078	0.045410156
10.790126953	0.046875000
10.899433594	0.047851562
11.039970703	0.049316406
11.149277344	0.050292969
11.274199219	0.051757812
11.383505859	0.053710937
11.508427734	0.054199219
11.633349609	0.055664062
11.742656250	0.056640625
11.867578125	0.057128906
11.961269531	0.058593750
12.070576172	0.059082031
12.195498047	0.059570312
12.320419922	0.060058594
12.429726562	0.060546875
12.554648437	0.061035156
12.679570312	0.061523437
12.788876953	0.062011719
12.898183594	0.061523437
13.023105469	0.062500000
13.148027344	0.062011719
13.257333984	0.062011719
13.382255859	0.062500000
13.507177734	0.062500000
13.616484375	0.062988281
13.741406250	0.062500000
13.850712891	0.063476562
13.975634766	0.062988281
14.084941406	0.063964844
14.209863281	0.063964844
14.319169922	0.063964844
14.444091797	0.064453125
14.569013672	0.064941406
14.693935547	0.065917969
14.803242188	0.066406250
14.896933594	0.066894531
15.037470703	0.067871094
15.146777344	0.068847656
15.271699219	0.070312500
15.396621094	0.071289062
15.505927734	0.072265625
15.615234375	0.073730469
15.755771484	0.075683594
15.865078125	0.077636719
15.974384766	0.079101562
16.083691406	0.081054687
16.192998047	0.082519531
16.317919922	0.084472656
16.427226562	0.086914062
16.552148438	0.087890625
16.677070312	0.089355469
16.786376953	0.090820312
16.911298828	0.091796875
17.020605469	0.092285156
17.145527344	0.092773437
17.270449219	0.093261719
17.379755859	0.092773437
17.504677734	0.093261719
17.613984375	0.092285156
17.738906250	0.092285156
17.848212891	0.091796875
17.973134766	0.091308594
18.082441406	0.090820312
18.207363281	0.090332031
18.332285156	0.090332031
18.441591797	0.089355469
18.550898437	0.088867187
18.675820313	0.087890625
18.800742187	0.088378906
18.925664063	0.087890625
19.019355469	0.087890625
19.159892578	0.087890625
19.269199219	0.087890625
19.378505859	0.087890625
19.503427734	0.088378906
19.628349609	0.088378906
19.737656250	0.089355469
19.846962891	0.089843750
19.956269531	0.090820312
20.081191406	0.092285156
20.190498047	0.093261719
20.315419922	0.094726562
20.424726562	0.095703125
20.549648438	0.098144531
20.658955078	0.099609375
20.783876953	0.101562500
20.908798828	0.104003906
21.033720703	0.106445312
21.143027344	0.108398437
21.267949219	0.110839844
21.377255859	0.112792969
21.502177734	0.114746094
21.611484375	0.116210937
21.720791016	0.117675781
21.845712891	0.119140625
21.955019531	0.120117187
22.079941406	0.120605469
22.220478516	0.121093750
22.329785156	0.121093750
22.423476562	0.120605469
22.564013672	0.120605469
22.673320312	0.120117187
22.798242188	0.119140625
22.907548828	0.118164062
23.032470703	0.117187500
23.141777344	0.116210937
23.266699219	0.115234375
23.391621094	0.114746094
23.500927734	0.113281250
23.625849609	0.112792969
23.735156250	0.111816406
23.860078125	0.110839844
23.953769531	0.110351562
24.063076172	0.109863281
24.203613281	0.109375000
24.312919922	0.109375000
24.422226563	0.109375000
24.547148437	0.108886719
24.672070313	0.109375000
24.781376953	0.109863281
24.890683594	0.110351562
25.015605469	0.111328125
25.140527344	0.112792969
25.265449219	0.113769531
25.374755859	0.115234375
25.484062500	0.116210937
25.608984375	0.118652344
25.718291016	0.120117187
25.843212891	0.122558594
25.968134766	0.125000000
26.077441406	0.127441406
26.202363281	0.129882812
26.311669922	0.131835937
26.436591797	0.133789062
26.545898437	0.136718750
26.686435547	0.138183594
26.795742188	0.140625000
26.905048828	0.141601562
27.029970703	0.143554687
27.154892578	0.144042969
27.264199219	0.145019531
27.373505859	0.145019531
27.514042969	0.145019531
27.623349609	0.144531250
27.748271484	0.144042969
27.857578125	0.143066406
27.951269531	0.142578125
28.076191406	0.141601562
28.201113281	0.140136719
28.310419922	0.139160156
28.435341797	0.137695312
28.544648438	0.136230469
28.669570312	0.135253906
28.794492188	0.133789062
28.903798828	0.132812500
29.028720703	0.131347656
29.138027344	0.130371094
29.262949219	0.129882812
29.372255859	0.128906250
29.497177734	0.128417969
29.606484375	0.128417969
29.747021484	0.127929687
29.840712891	0.127929687
29.950019531	0.128417969
30.090556641	0.129394531
30.199863281	0.129882812
30.309169922	0.130859375
30.449707031	0.131835937
30.559013672	0.132812500
30.668320313	0.134277344
30.730781250	0.136718750
30.746396484	0.137695312
30.715166016	0.139648437
30.746396484	0.140625000
30.730781250	0.142089844
30.730781250	0.143066406
30.730781250	0.144531250
30.730781250	0.145507812
30.730781250	0.146484375
30.715166016	0.147460937
30.715166016	0.147949219
30.730781250	0.148925781
30.730781250	0.149414062
30.715166016	0.149902344
30.715166016	0.150878906
30.730781250	0.151367187
30.730781250	0.151367187
30.746396484	0.151855469
30.730781250	0.152343750
30.715166016	0.152832031
30.730781250	0.152832031
30.715166016	0.153808594
30.730781250	0.153808594
30.730781250	0.153808594
30.730781250	0.154785156
30.715166016	0.154785156
30.730781250	0.155761719
30.730781250	0.155273437
30.730781250	0.155761719
30.746396484	0.155761719
30.730781250	0.156250000
30.715166016	0.156250000
30.730781250	0.156250000
30.730781250	0.156738281
