Chart Recorder Data File Thu, Mar 15, 2018 10:37 AM
CH1 (V)  	CH2 (V)  
-0.437226562	0.011718750
-0.437226562	0.011230469
-0.437226562	0.010742187
-0.437226562	0.010742187
-0.437226562	0.010742187
-0.374765625	0.011230469
-0.249843750	0.011230469
-0.140537109	0.011230469
-0.031230469	0.011718750
0.093691406	0.011230469
0.202998047	0.011230469
0.327919922	0.011230469
0.437226562	0.011230469
0.577763672	0.010742187
0.687070312	0.010253906
0.811992188	0.010742187
0.921298828	0.010742187
1.046220703	0.010742187
1.155527344	0.011230469
1.280449219	0.011718750
1.405371094	0.011718750
1.530292969	0.011718750
1.639599609	0.012207031
1.764521484	0.010742187
1.873828125	0.010742187
1.998750000	0.011230469
2.108056641	0.011230469
2.232978516	0.011718750
2.342285156	0.011718750
2.467207031	0.012695312
2.576513672	0.013183594
2.701435547	0.013183594
2.810742187	0.013671875
2.951279297	0.013671875
3.060585937	0.014160156
3.169892578	0.015136719
3.294814453	0.015625000
3.419736328	0.016113281
3.529042969	0.017578125
3.653964844	0.019531250
3.778886719	0.021972656
3.888193359	0.023925781
3.997500000	0.024902344
4.106806641	0.026367187
4.216113281	0.028320312
4.356650391	0.030273437
4.465957031	0.032226562
4.590878906	0.034179687
4.700185547	0.036132812
4.825107422	0.039062500
4.934414063	0.041503906
5.043720703	0.044921875
5.168642578	0.047851562
5.293564453	0.050781250
5.402871094	0.054199219
5.543408203	0.058593750
5.652714844	0.065917969
5.777636719	0.165039062
5.886943359	0.162597656
5.996250000	0.161132812
6.105556641	0.160156250
6.246093750	0.159667969
6.355400391	0.159667969
6.480322266	0.160644531
6.605244141	0.161132812
6.714550781	0.162597656
6.823857422	0.163085937
6.948779297	0.170410156
7.073701172	0.171875000
7.183007812	0.172851562
7.307929687	0.174316406
7.417236328	0.175781250
7.542158203	0.176269531
7.667080078	0.177734375
7.792001953	0.179199219
7.901308594	0.180175781
7.995000000	0.181152344
8.119921875	0.181640625
8.229228516	0.183105469
8.354150391	0.183593750
8.479072266	0.184570312
8.603994141	0.185058594
8.713300781	0.185546875
8.838222656	0.186035156
8.947529297	0.186035156
9.072451172	0.186523437
9.181757812	0.187500000
9.306679687	0.187988281
9.431601562	0.188964844
9.540908203	0.189453125
9.650214844	0.190917969
9.775136719	0.191894531
9.884443359	0.193847656
10.009365234	0.196289062
10.134287109	0.198730469
10.259208984	0.201660156
10.368515625	0.205078125
10.493437500	0.209472656
10.602744141	0.213867187
10.727666016	0.219238281
10.836972656	0.224609375
10.977509766	0.230957031
11.086816406	0.237792969
11.196123047	0.245117187
11.321044922	0.250488281
11.445966797	0.258300781
11.539658203	0.267089844
11.680195313	0.274414062
11.789501953	0.280273437
11.898808594	0.284667969
12.008115234	0.287597656
12.133037109	0.292480469
12.242343750	0.318359375
12.367265625	0.315917969
12.476572266	0.312500000
12.601494141	0.309082031
12.726416016	0.305664062
12.835722656	0.302246094
12.960644531	0.298828125
13.085566406	0.294433594
13.194873047	0.290527344
13.319794922	0.285644531
13.429101562	0.282226562
13.554023437	0.277832031
13.678945312	0.273437500
13.803867187	0.268554687
13.897558594	0.264160156
14.022480469	0.259765625
14.131787109	0.255859375
14.256708984	0.251953125
14.381630859	0.249023437
14.490937500	0.246093750
14.600244141	0.244628906
14.725166016	0.243652344
14.865703125	0.243652344
14.975009766	0.243652344
15.099931641	0.245117187
15.209238281	0.247070312
15.318544922	0.250488281
15.459082031	0.254394531
15.568388672	0.259277344
15.693310547	0.264648437
15.802617187	0.270996094
15.911923828	0.278320312
16.005615234	0.285644531
16.146152344	0.293457031
16.255458984	0.301757812
16.380380859	0.310546875
16.489687500	0.318847656
16.614609375	0.327148437
16.723916016	0.334472656
16.864453125	0.341308594
16.958144531	0.346679687
17.098681641	0.351074219
17.207988281	0.354003906
17.332910156	0.355957031
17.442216797	0.357421875
17.567138672	0.356933594
17.676445313	0.355957031
17.816982422	0.354492187
17.910673828	0.352539062
18.035595703	0.349609375
18.144902344	0.346679687
18.269824219	0.341796875
18.379130859	0.338867187
18.504052734	0.333984375
18.613359375	0.328613281
18.738281250	0.323730469
18.863203125	0.318359375
18.988125000	0.312500000
19.097431641	0.306640625
19.222353516	0.301269531
19.331660156	0.296386719
19.456582031	0.290039062
19.565888672	0.286132812
19.690810547	0.281738281
19.815732422	0.278808594
19.909423828	0.275878906
20.034345703	0.275390625
20.143652344	0.275390625
20.268574219	0.276855469
20.377880859	0.278808594
