# Chart Recorder Data File Thu, Mar 15, 2018 10:33 AM
# CH1 (V)  	CH2 (V)  
-0.437226562	0.315429687
-0.437226562	0.303710937
-0.437226562	0.293457031
-0.437226562	0.282714844
-0.437226562	0.273437500
-0.437226562	0.263671875
-0.437226562	0.255371094
-0.437226562	0.246582031
-0.437226562	0.238769531
-0.437226562	0.230468750
-0.437226562	0.223144531
-0.437226562	0.215820312
-0.437226562	0.208496094
-0.437226562	0.201660156
-0.437226562	0.195312500
-0.437226562	0.188964844
-0.437226562	0.182128906
-0.437226562	0.176269531
-0.437226562	0.170410156
-0.437226562	0.164550781
-0.437226562	0.160156250
-0.437226562	0.155273437
-0.437226562	0.149902344
-0.437226562	0.144531250
-0.437226562	0.139648437
-0.437226562	0.134765625
-0.437226562	0.130371094
-0.437226562	0.126464844
-0.437226562	0.122558594
-0.437226562	0.119140625
-0.437226562	0.115234375
-0.421611328	0.111816406
-0.343535156	0.108398437
-0.218613281	0.105468750
-0.109306641	0.102050781
-0.000000000	0.099121094
0.124921875	0.095703125
0.249843750	0.093261719
0.374765625	0.090332031
0.484072266	0.086914062
0.608994141	0.083984375
0.733916016	0.082031250
0.843222656	0.079589844
0.968144531	0.077148437
1.077451172	0.075195312
1.186757813	0.073242187
1.311679688	0.071289062
1.436601562	0.069335937
1.545908203	0.067871094
1.670830078	0.066406250
1.780136719	0.064941406
1.905058594	0.063476562
2.014365234	0.061523437
2.154902344	0.060546875
2.248593750	0.059570312
2.389130859	0.059570312
2.498437500	0.059082031
2.623359375	0.059570312
2.732666016	0.060058594
2.857587891	0.062011719
2.966894531	0.064453125
3.091816406	0.067382812
3.201123047	0.070800781
3.326044922	0.076171875
3.450966797	0.081542969
3.560273437	0.089355469
3.685195312	0.096679687
3.810117187	0.105957031
3.919423828	0.114746094
4.028730469	0.125488281
4.138037109	0.135253906
4.262958984	0.146972656
4.372265625	0.157226562
4.497187500	0.169433594
4.622109375	0.180175781
4.731416016	0.192871094
4.840722656	0.204101562
4.981259766	0.215820312
5.090566406	0.227539062
5.199873047	0.240234375
5.324794922	0.251953125
5.449716797	0.264160156
5.559023437	0.276367187
5.683945312	0.290039062
5.808867187	0.301757812
5.918173828	0.315917969
6.027480469	0.328125000
6.152402344	0.341796875
6.277324219	0.354492187
6.402246094	0.368164062
6.511552734	0.380859375
6.620859375	0.393066406
6.745781250	0.404296875
6.870703125	0.414550781
6.980009766	0.422851562
7.104931641	0.430175781
7.214238281	0.434570312
7.339160156	0.438476562
7.448466797	0.440917969
7.573388672	0.441894531
