Chart Recorder Data File Thu, Mar 15, 2018 10:40 AM
CH1 (V)  	CH2 (V)  
-0.437226562	0.197265625
-0.437226562	0.191406250
-0.437226562	0.183593750
-0.437226562	0.177734375
-0.437226562	0.170898437
-0.437226562	0.165527344
-0.437226562	0.159179687
-0.437226562	0.153808594
-0.437226562	0.147949219
-0.437226562	0.143554687
-0.437226562	0.137695312
-0.437226562	0.133789062
-0.437226562	0.129394531
-0.437226562	0.125000000
-0.437226562	0.120605469
-0.437226562	0.117187500
-0.327919922	0.113281250
-0.218613281	0.110351562
-0.093691406	0.106445312
0.015615234	0.103515625
0.140537109	0.100585937
0.249843750	0.098632812
0.390380859	0.095214844
0.499687500	0.092773437
0.624609375	0.089843750
0.749531250	0.087890625
0.858837891	0.084960937
0.968144531	0.083007812
1.108681641	0.079589844
1.202373047	0.077636719
1.342910156	0.075195312
1.452216797	0.073730469
1.577138672	0.071289062
1.686445313	0.069824219
1.811367187	0.067382812
1.920673828	0.065917969
2.045595703	0.065917969
2.154902344	0.063964844
2.295439453	0.061523437
2.404746094	0.060058594
2.514052734	0.058593750
2.638974609	0.057128906
2.748281250	0.055664062
2.873203125	0.054687500
2.998125000	0.053222656
3.107431641	0.052246094
3.247968750	0.050781250
3.341660156	0.049804687
3.482197266	0.048828125
3.575888672	0.047851562
3.700810547	0.046875000
3.825732422	0.045898437
3.935039063	0.044921875
4.044345703	0.044433594
4.169267578	0.043945312
4.278574219	0.043945312
4.403496094	0.043457031
4.512802734	0.043457031
4.653339844	0.043457031
4.762646484	0.043457031
4.887568359	0.043457031
4.996875000	0.043945312
5.121796875	0.044433594
5.231103516	0.044921875
5.356025391	0.045898437
5.465332031	0.046875000
5.605869141	0.047851562
5.699560547	0.049316406
5.840097656	0.050781250
5.933789062	0.051757812
6.058710937	0.053710937
6.183632812	0.055175781
6.308554688	0.057617187
6.417861328	0.060058594
6.542783203	0.062988281
6.667705078	0.065917969
6.777011719	0.068359375
6.901933594	0.071289062
7.011240234	0.074218750
7.136162109	0.077148437
7.245468750	0.080078125
7.370390625	0.083007812
7.495312500	0.086425781
7.604619141	0.089355469
7.729541016	0.092285156
7.838847656	0.094726562
7.963769531	0.098144531
8.057460938	0.100097656
8.182382813	0.102539062
8.307304688	0.104980469
8.416611328	0.106933594
8.525917969	0.109375000
8.650839844	0.110839844
8.775761719	0.112792969
8.885068359	0.114257812
9.025605469	0.115722656
9.134912109	0.117187500
9.244218750	0.118652344
9.369140625	0.118652344
9.478447266	0.118164062
9.618984375	0.120117187
9.728291016	0.121093750
9.853212891	0.123535156
9.946904297	0.125488281
10.071826172	0.127929687
10.196748047	0.130371094
10.321669922	0.132812500
10.430976562	0.135253906
10.555898437	0.138671875
10.665205078	0.142089844
10.790126953	0.146972656
10.899433594	0.150878906
11.024355469	0.156250000
11.133662109	0.160644531
11.274199219	0.166992187
11.383505859	0.171875000
11.508427734	0.177734375
11.617734375	0.183105469
11.742656250	0.188476562
11.851962891	0.192871094
11.961269531	0.195800781
12.070576172	0.197753906
12.195498047	0.200195312
12.320419922	0.201171875
12.429726562	0.201660156
12.554648437	0.202148437
12.663955078	0.201660156
12.788876953	0.201171875
12.898183594	0.199218750
13.023105469	0.198242187
13.148027344	0.197265625
13.257333984	0.195800781
13.382255859	0.194335937
13.507177734	0.192871094
13.616484375	0.185546875
13.741406250	0.292968750
13.866328125	0.288085937
13.975634766	0.281250000
14.084941406	0.273925781
14.209863281	0.267089844
14.334785156	0.260742187
14.444091797	0.255371094
14.569013672	0.249511719
14.678320313	0.245117187
14.818857422	0.241210937
14.912548828	0.237792969
15.037470703	0.235351562
15.162392578	0.233886719
15.271699219	0.232910156
15.396621094	0.232910156
15.505927734	0.233886719
15.630849609	0.234863281
15.755771484	0.237792969
15.865078125	0.240234375
15.974384766	0.245117187
16.083691406	0.249023437
16.208613281	0.254394531
16.317919922	0.259277344
16.442841797	0.265625000
16.552148438	0.271484375
16.677070312	0.276855469
16.786376953	0.282226562
16.911298828	0.286621094
17.036220703	0.289550781
17.161142578	0.291992187
17.270449219	0.293457031
17.395371094	0.293945312
17.520292969	0.293457031
17.629599609	0.292968750
17.754521484	0.291015625
17.863828125	0.289062500
17.973134766	0.287109375
18.098056641	0.283691406
18.222978516	0.280761719
18.347900391	0.277343750
18.457207031	0.272949219
18.582128906	0.270019531
18.691435547	0.264648437
18.816357422	0.260742187
18.925664063	0.256347656
19.050585937	0.251464844
19.159892578	0.247558594
19.300429687	0.243652344
19.409736328	0.240234375
19.534658203	0.237792969
19.643964844	0.235839844
19.768886719	0.234375000
19.862578125	0.232910156
19.987500000	0.233398437
20.096806641	0.233886719
20.221728516	0.235351562
20.331035156	0.238281250
20.455957031	0.241210937
20.565263672	0.244628906
20.705800781	0.250000000
20.815107422	0.254882812
20.924414062	0.263183594
21.049335938	0.268066406
21.158642578	0.419921875
21.283564453	0.408203125
21.408486328	0.398437500
21.517792969	0.391113281
21.642714844	0.384277344
21.752021484	0.379882812
21.876943359	0.375488281
21.986250000	0.372558594
22.111171875	0.369628906
22.220478516	0.367187500
22.345400391	0.365234375
22.454707031	0.362792969
22.595244141	0.360351562
22.704550781	0.356933594
22.829472656	0.354492187
22.938779297	0.350585937
23.063701172	0.347167969
23.173007812	0.343261719
23.297929687	0.338867187
23.407236328	0.333984375
23.532158203	0.329101562
23.641464844	0.323730469
23.766386719	0.319335937
23.875693359	0.312500000
24.000615234	0.306640625
24.109921875	0.301269531
24.219228516	0.295410156
24.344150391	0.290039062
24.469072266	0.284179687
24.578378906	0.279785156
24.703300781	0.274902344
24.812607422	0.270996094
24.937529297	0.268066406
25.046835937	0.266113281
25.171757813	0.264648437
25.281064453	0.264160156
25.405986328	0.265136719
25.515292969	0.266601562
25.640214844	0.269531250
25.765136719	0.272949219
25.890058594	0.277832031
25.999365234	0.282226562
26.124287109	0.288574219
26.233593750	0.294921875
26.342900391	0.301757812
26.467822266	0.308105469
26.592744141	0.316406250
26.702050781	0.323242187
26.826972656	0.330078125
26.936279297	0.335937500
27.061201172	0.341796875
27.186123047	0.346191406
27.311044922	0.351074219
27.420351562	0.354003906
27.545273438	0.356933594
27.670195312	0.358886719
27.779501953	0.359863281
27.873193359	0.360351562
28.013730469	0.359863281
28.107421875	0.359375000
28.232343750	0.357421875
28.357265625	0.354980469
28.466572266	0.352050781
28.575878906	0.349609375
28.700800781	0.345214844
28.825722656	0.341308594
28.935029297	0.336914062
29.059951172	0.332519531
29.184873047	0.327636719
29.294179687	0.322265625
29.419101562	0.317871094
29.544023437	0.312011719
29.668945312	0.306152344
29.778251953	0.301757812
29.887558594	0.296875000
30.012480469	0.292968750
30.121787109	0.289062500
30.246708984	0.287109375
30.356015625	0.285156250
30.465322266	0.285156250
30.590244141	0.284667969
30.699550781	0.286132812
30.824472656	0.288085937
30.840087891	0.290527344
