Chart Recorder Data File Thu, Mar 15, 2018 10:23 AM
CH1 (V)  	CH2 (V)  
-0.437226562	0.020507812
-0.062460938	0.020507812
-0.187382812	0.019531250
-0.078076172	0.019531250
-0.202998047	0.018554687
-0.078076172	0.019042969
-0.452841797	0.018066406
-0.359150391	0.018066406
-0.234228516	0.017578125
-0.109306641	0.017578125
-0.015615234	0.017578125
0.124921875	0.017089844
0.234228516	0.017089844
0.359150391	0.017578125
0.468457031	0.017089844
0.593378906	0.017578125
0.702685547	0.017089844
0.827607422	0.016601562
0.936914062	0.016113281
1.061835937	0.016601562
1.171142578	0.016113281
1.296064453	0.016113281
1.420986328	0.016113281
1.545908203	0.016113281
1.655214844	0.016113281
1.780136719	0.015625000
1.889443359	0.016113281
2.014365234	0.016113281
2.123671875	0.016113281
2.248593750	0.016601562
2.373515625	0.016113281
2.482822266	0.016601562
2.607744141	0.016601562
2.732666016	0.016601562
2.841972656	0.016601562
2.951279297	0.017089844
3.060585937	0.017089844
3.201123047	0.017089844
3.310429688	0.016601562
3.435351562	0.016601562
3.544658203	0.016601562
3.685195312	0.017089844
3.794501953	0.017089844
3.903808594	0.016601562
4.013115234	0.016113281
4.122421875	0.016113281
4.231728516	0.016601562
4.372265625	0.017089844
4.481572266	0.016601562
4.606494141	0.017089844
4.715800781	0.017089844
4.856337891	0.018066406
4.965644531	0.018554687
5.074951172	0.019042969
5.199873047	0.019531250
5.309179688	0.020019531
5.434101562	0.020507812
5.543408203	0.021972656
5.668330078	0.022460937
5.793251953	0.023437500
5.902558594	0.023925781
6.027480469	0.024414062
6.136787109	0.024902344
6.261708984	0.025878906
6.386630859	0.025878906
6.495937500	0.027343750
6.620859375	0.027343750
6.745781250	0.028320312
6.870703125	0.028808594
6.980009766	0.029296875
7.089316406	0.030273437
7.229853516	0.031250000
7.323544922	0.031250000
7.448466797	0.031738281
7.557773437	0.031738281
7.682695312	0.033203125
7.807617187	0.033203125
7.916923828	0.033691406
8.010615234	0.034179687
8.135537109	0.034667969
8.260458984	0.034667969
8.385380859	0.035156250
8.494687500	0.035644531
8.619609375	0.035644531
8.744531250	0.036132812
8.853837891	0.037109375
8.963144531	0.037109375
9.088066406	0.038085937
9.212988281	0.038085937
9.337910156	0.039062500
9.447216797	0.039550781
9.572138672	0.039550781
9.681445312	0.040039062
9.806367187	0.040527344
9.915673828	0.041503906
10.040595703	0.041992187
10.149902344	0.042480469
10.274824219	0.043945312
10.399746094	0.044921875
10.509052734	0.045898437
10.633974609	0.046875000
10.743281250	0.047851562
10.868203125	0.048828125
10.977509766	0.050781250
11.102431641	0.051269531
11.227353516	0.053222656
11.352275391	0.054687500
11.461582031	0.055664062
11.586503906	0.057128906
11.695810547	0.058105469
11.820732422	0.059082031
11.930039063	0.060058594
12.023730469	0.061035156
12.148652344	0.061523437
12.257958984	0.062011719
12.382880859	0.063476562
12.507802734	0.063476562
12.617109375	0.063964844
12.742031250	0.063476562
12.866953125	0.063964844
12.976259766	0.063964844
13.101181641	0.063964844
13.210488281	0.063476562
13.335410156	0.063964844
13.444716797	0.063964844
13.569638672	0.064453125
13.694560547	0.063964844
13.803867187	0.064453125
13.928789062	0.064453125
14.053710937	0.064941406
14.163017578	0.064941406
14.287939453	0.065429687
14.397246094	0.065917969
14.522167969	0.066894531
14.631474609	0.067382812
14.756396484	0.067871094
14.865703125	0.068359375
14.990625000	0.069335937
15.115546875	0.070312500
15.224853516	0.071289062
15.334160156	0.072753906
15.474697266	0.074218750
15.584003906	0.075195312
15.708925781	0.077148437
15.818232422	0.079101562
15.927539062	0.081054687
16.036845703	0.082519531
16.161767578	0.084472656
16.271074219	0.085937500
16.395996094	0.088378906
16.505302734	0.089843750
16.630224609	0.091308594
16.739531250	0.092285156
16.864453125	0.093750000
16.973759766	0.094238281
17.114296875	0.094726562
17.223603516	0.095214844
17.348525391	0.095214844
17.457832031	0.094726562
17.582753906	0.095703125
17.707675781	0.094726562
17.816982422	0.094726562
17.926289063	0.094238281
18.051210937	0.093750000
18.160517578	0.092773437
18.285439453	0.092773437
18.394746094	0.091796875
18.519667969	0.091796875
18.644589844	0.090820312
18.769511719	0.090332031
18.863203125	0.090332031
19.003740234	0.089843750
19.113046875	0.089843750
19.237968750	0.089843750
19.347275391	0.089843750
19.472197266	0.090332031
19.597119141	0.090820312
19.706425781	0.090820312
19.846962891	0.091796875
19.925039062	0.092285156
20.049960937	0.093261719
20.159267578	0.094726562
20.284189453	0.096191406
20.409111328	0.098144531
20.518417969	0.099609375
20.643339844	0.101074219
20.752646484	0.103027344
20.877568359	0.105468750
20.986875000	0.107421875
21.111796875	0.110351562
21.221103516	0.112304687
21.346025391	0.114257812
21.455332031	0.116699219
21.580253906	0.118652344
21.705175781	0.120605469
21.830097656	0.121582031
21.939404297	0.122558594
22.064326172	0.124023437
22.173632812	0.124511719
22.298554688	0.125000000
22.392246094	0.124511719
22.532783203	0.124023437
22.642089844	0.123535156
22.767011719	0.123046875
22.876318359	0.122070312
23.001240234	0.121093750
23.110546875	0.120117187
23.235468750	0.119140625
23.360390625	0.117675781
23.485312500	0.116699219
23.594619141	0.115234375
23.719541016	0.114746094
23.828847656	0.113769531
23.938154297	0.113281250
24.047460937	0.112304687
24.172382813	0.111816406
24.281689453	0.111328125
24.406611328	0.111328125
24.531533203	0.111328125
24.640839844	0.111328125
24.765761719	0.111816406
24.890683594	0.112304687
24.999990234	0.112792969
25.109296875	0.113769531
25.234218750	0.114746094
25.359140625	0.116210937
25.468447266	0.117675781
25.593369141	0.119628906
25.702675781	0.121582031
25.827597656	0.123535156
25.952519531	0.125976562
26.061826172	0.128906250
26.186748047	0.131347656
26.296054687	0.134277344
26.405361328	0.136718750
26.530283203	0.139160156
