Chart Recorder Data File Thu, Mar 15, 2018 10:21 AM
CH1 (V)  	CH2 (V)  
-0.171767578	0.014160156
-0.156152344	0.014160156
-0.171767578	0.013671875
-0.468457031	0.013671875
-0.359150391	0.013671875
-0.234228516	0.013671875
-0.109306641	0.013183594
-0.000000000	0.013671875
0.124921875	0.013671875
0.249843750	0.012695312
0.359150391	0.013671875
0.484072266	0.013671875
0.593378906	0.013183594
0.718300781	0.014160156
0.827607422	0.013671875
0.952529297	0.013671875
1.077451172	0.013671875
1.186757813	0.014160156
1.311679688	0.014160156
1.436601562	0.014160156
1.545908203	0.014648437
1.670830078	0.014160156
1.795751953	0.014648437
1.905058594	0.014648437
2.029980469	0.014648437
2.139287109	0.015136719
2.248593750	0.015136719
2.373515625	0.015136719
2.482822266	0.015136719
2.623359375	0.015625000
2.732666016	0.015625000
2.857587891	0.015625000
2.966894531	0.016113281
3.091816406	0.016113281
3.201123047	0.016113281
3.326044922	0.016601562
3.450966797	0.016113281
3.560273437	0.016601562
3.685195312	0.016601562
3.794501953	0.017578125
3.919423828	0.017578125
4.013115234	0.018066406
4.138037109	0.018554687
4.262958984	0.019042969
4.372265625	0.019042969
4.497187500	0.019042969
4.606494141	0.019531250
4.747031250	0.020019531
4.856337891	0.020507812
4.965644531	0.020996094
5.090566406	0.020996094
5.215488281	0.021972656
5.324794922	0.021972656
5.449716797	0.022949219
5.559023437	0.022949219
5.683945312	0.023925781
5.793251953	0.024414062
5.918173828	0.024902344
6.027480469	0.025878906
6.152402344	0.025878906
6.261708984	0.026855469
6.402246094	0.027832031
6.511552734	0.028320312
6.636474609	0.029296875
6.745781250	0.029785156
6.870703125	0.030273437
6.980009766	0.031250000
7.104931641	0.032226562
7.214238281	0.032714844
7.339160156	0.033691406
7.448466797	0.034179687
7.573388672	0.035156250
7.682695312	0.035156250
7.807617187	0.036132812
7.916923828	0.036132812
8.026230469	0.037109375
8.135537109	0.037109375
8.260458984	0.038085937
8.385380859	0.038085937
8.510302734	0.038574219
8.619609375	0.039062500
8.744531250	0.039550781
8.869453125	0.039550781
8.978759766	0.040527344
9.088066406	0.041015625
9.212988281	0.041503906
9.337910156	0.041992187
9.462832031	0.042480469
9.572138672	0.042968750
9.697060547	0.043457031
9.806367187	0.043945312
9.915673828	0.044921875
10.024980469	0.045410156
10.165517578	0.046875000
10.290439453	0.047363281
10.399746094	0.048339844
10.509052734	0.049316406
10.633974609	0.050781250
10.758896484	0.051269531
10.868203125	0.052734375
10.993125000	0.053710937
11.102431641	0.055664062
11.227353516	0.057128906
11.352275391	0.058593750
11.461582031	0.059570312
11.586503906	0.060058594
11.711425781	0.062011719
11.805117188	0.062011719
11.930039063	0.156250000
12.039345703	0.152832031
12.148652344	0.149414062
12.273574219	0.146484375
12.382880859	0.143066406
12.507802734	0.140136719
12.632724609	0.137695312
12.757646484	0.134277344
12.882568359	0.131347656
12.991875000	0.128906250
13.101181641	0.126464844
13.226103516	0.124023437
13.335410156	0.121582031
13.460332031	0.119628906
13.585253906	0.117675781
13.694560547	0.112792969
13.819482422	0.110839844
13.928789062	0.108886719
14.038095703	0.106933594
14.163017578	0.105957031
14.272324219	0.104003906
14.412861328	0.102539062
14.522167969	0.101562500
14.647089844	0.101074219
14.756396484	0.099121094
14.881318359	0.099121094
14.990625000	0.098632812
15.115546875	0.098144531
15.240468750	0.098144531
15.365390625	0.098632812
15.474697266	0.098144531
15.584003906	0.098144531
15.708925781	0.098144531
15.833847656	0.098144531
15.927539062	0.098632812
16.052460938	0.100585937
16.161767578	0.101562500
16.286689453	0.102539062
16.411611328	0.103515625
16.520917969	0.104492187
16.630224609	0.104980469
16.755146484	0.105468750
16.864453125	0.105957031
16.989375000	0.105957031
17.098681641	0.105957031
17.223603516	0.105468750
17.348525391	0.104980469
17.473447266	0.104980469
17.582753906	0.103515625
17.707675781	0.103027344
17.832597656	0.102539062
17.941904297	0.101562500
18.051210937	0.100585937
18.176132813	0.099609375
18.285439453	0.098632812
18.410361328	0.097656250
18.519667969	0.097167969
18.644589844	0.097167969
18.769511719	0.096191406
18.878818359	0.095703125
19.003740234	0.094726562
19.113046875	0.094238281
19.253583984	0.094238281
19.362890625	0.094238281
19.472197266	0.093750000
19.597119141	0.094238281
19.722041016	0.094238281
19.831347656	0.095214844
19.925039062	0.095703125
20.049960937	0.096679687
20.174882812	0.098144531
20.299804687	0.099609375
20.409111328	0.100585937
20.534033203	0.102050781
20.643339844	0.103515625
20.768261719	0.105468750
20.877568359	0.106933594
21.002490234	0.109375000
21.111796875	0.111328125
21.252333984	0.113769531
21.346025391	0.115234375
21.470947266	0.117675781
21.580253906	0.119628906
21.705175781	0.120605469
21.830097656	0.121582031
21.939404297	0.123046875
22.064326172	0.123046875
22.189248047	0.123046875
22.298554688	0.123535156
22.423476562	0.123046875
22.548398438	0.122558594
22.657705078	0.122070312
22.782626953	0.121093750
22.891933594	0.120117187
23.016855469	0.119140625
23.126162109	0.118164062
23.251083984	0.116699219
23.360390625	0.115722656
23.485312500	0.114257812
23.610234375	0.114257812
23.719541016	0.112792969
23.844462891	0.112304687
23.938154297	0.111816406
24.063076172	0.111328125
24.187998047	0.110839844
24.297304687	0.110351562
24.406611328	0.110351562
24.547148437	0.110351562
24.656455078	0.110351562
24.765761719	0.110351562
24.890683594	0.111328125
25.015605469	0.112304687
25.124912109	0.112792969
25.265449219	0.114257812
25.359140625	0.115234375
25.484062500	0.117187500
25.593369141	0.118652344
25.718291016	0.121093750
25.827597656	0.122558594
25.952519531	0.125000000
26.061826172	0.127441406
26.186748047	0.129882812
26.311669922	0.131835937
26.420976562	0.133789062
26.545898437	0.136718750
26.670820312	0.138671875
26.780126953	0.140136719
26.905048828	0.142089844
27.014355469	0.143066406
27.139277344	0.144042969
27.248583984	0.144531250
27.357890625	0.145019531
27.482812500	0.144531250
27.623349609	0.144042969
27.732656250	0.143554687
27.857578125	0.143066406
27.935654297	0.141601562
28.060576172	0.140625000
28.185498047	0.139648437
28.310419922	0.137207031
28.419726562	0.135742187
28.544648438	0.134277344
28.653955078	0.133300781
28.778876953	0.132324219
28.888183594	0.130371094
29.013105469	0.129882812
29.122412109	0.128906250
29.262949219	0.128417969
29.372255859	0.127441406
29.497177734	0.127441406
29.622099609	0.126953125
29.731406250	0.127441406
29.840712891	0.127441406
29.950019531	0.127929687
30.090556641	0.127929687
30.215478516	0.128906250
30.309169922	0.129882812
30.434091797	0.130859375
30.559013672	0.132812500
30.683935547	0.133789062
30.793242187	0.135742187
30.793242187	0.137695312
30.793242187	0.139160156
30.793242187	0.141601562
30.793242187	0.142578125
30.793242187	0.144042969
30.793242187	0.145019531
30.793242187	0.145996094
30.808857422	0.146972656
30.793242187	0.147949219
30.793242187	0.148925781
30.793242187	0.149902344
30.793242187	0.150390625
30.793242187	0.151855469
30.793242187	0.151855469
30.793242187	0.152832031
30.793242187	0.153320312
30.777626953	0.153808594
30.793242187	0.153808594
30.793242187	0.154785156
30.793242187	0.155273437
30.793242187	0.155273437
30.793242187	0.155761719
30.793242187	0.156250000
30.793242187	0.156738281
30.793242187	0.157226562
30.793242187	0.157226562
30.793242187	0.157714844
30.793242187	0.157226562
30.793242187	0.158203125
30.793242187	0.158203125
30.762011719	0.158691406
30.793242187	0.158203125
30.777626953	0.158691406
30.793242187	0.158691406
30.777626953	0.159179687
30.793242187	0.158691406
30.793242187	0.159179687
30.777626953	0.159179687
30.777626953	0.159179687
30.793242187	0.159179687
30.777626953	0.159179687
30.793242187	0.159179687
30.777626953	0.159179687
