# Chart Recorder Data File Thu, Mar 15, 2018 10:38 AM
# CH1 (V)  	CH2 (V)  
-0.437226562	0.281250000
-0.437226562	0.270996094
-0.437226562	0.262207031
-0.437226562	0.252929687
-0.437226562	0.244628906
-0.437226562	0.236328125
-0.437226562	0.228515625
-0.437226562	0.220214844
-0.437226562	0.212890625
-0.437226562	0.206054687
-0.437226562	0.199218750
-0.437226562	0.192382812
-0.437226562	0.186035156
-0.437226562	0.179199219
-0.421611328	0.173828125
-0.437226562	0.167968750
-0.437226562	0.163085937
-0.437226562	0.157226562
-0.437226562	0.149414062
-0.437226562	0.144531250
-0.437226562	0.138671875
-0.437226562	0.135742187
-0.437226562	0.131835937
-0.437226562	0.127441406
-0.437226562	0.123535156
-0.437226562	0.119140625
-0.437226562	0.115722656
-0.437226562	0.112304687
-0.452841797	0.108886719
-0.437226562	0.104980469
-0.437226562	0.102050781
-0.327919922	0.098632812
-0.202998047	0.096191406
-0.078076172	0.092773437
0.015615234	0.090332031
0.156152344	0.087402344
0.265458984	0.084960937
0.390380859	0.082031250
0.499687500	0.080566406
0.624609375	0.077636719
0.733916016	0.076660156
0.874453125	0.074218750
0.983759766	0.072753906
1.093066406	0.069824219
1.217988281	0.067382812
1.342910156	0.064941406
1.467832031	0.063476562
1.577138672	0.057617187
1.686445313	0.058593750
1.826982422	0.056640625
1.936289062	0.055664062
2.061210937	0.054199219
2.170517578	0.052734375
2.295439453	0.051269531
2.404746094	0.049804687
2.529667969	0.048828125
2.654589844	0.047851562
2.763896484	0.045410156
2.888818359	0.043945312
2.998125000	0.042968750
3.123046875	0.042480469
3.247968750	0.041503906
3.357275391	0.041015625
3.482197266	0.040527344
3.607119141	0.040039062
3.732041016	0.040527344
3.841347656	0.040527344
3.950654297	0.040527344
4.044345703	0.040039062
4.184882812	0.040527344
4.294189453	0.040527344
4.419111328	0.040527344
4.528417969	0.041503906
4.653339844	0.041503906
4.778261719	0.042968750
4.903183594	0.043457031
5.012490234	0.044921875
5.137412109	0.045898437
5.246718750	0.047363281
5.371640625	0.049316406
5.480947266	0.051269531
5.605869141	0.052734375
5.730791016	0.055175781
5.855712891	0.057617187
5.949404297	0.060546875
6.089941406	0.064453125
6.199248047	0.066894531
6.324169922	0.070800781
6.433476563	0.074707031
6.558398438	0.078125000
6.667705078	0.082519531
6.792626953	0.086425781
6.917548828	0.090820312
7.026855469	0.095214844
7.167392578	0.099121094
7.276699219	0.104003906
7.386005859	0.107910156
7.510927734	0.112304687
7.635849609	0.115722656
7.745156250	0.119628906
7.854462891	0.123046875
7.963769531	0.126464844
8.088691406	0.129882812
8.213613281	0.132324219
8.322919922	0.135253906
8.447841797	0.137695312
8.557148438	0.139648437
8.682070313	0.142089844
8.791376953	0.143066406
8.916298828	0.145019531
9.025605469	0.146972656
9.150527344	0.148437500
9.275449219	0.149414062
9.384755859	0.151367187
9.509677734	0.152832031
9.634599609	0.153808594
9.759521484	0.155761719
9.884443359	0.157714844
9.978134766	0.159667969
10.103056641	0.161621094
10.212363281	0.164550781
10.337285156	0.167968750
10.462207031	0.171386719
10.587128906	0.175781250
