Polarization of Light 'Brewsters' Data File Tue, Jan 23, 2018 10:59 AM
Sensor Position (Degrees)	Light Intensity (Volts)
181.21667	0.98774
181.21667	0.97824
181.23333	0.98243
181.26667	0.97292
181.28333	0.98565
181.31667	0.98549
181.33333	0.96986
181.35000	0.98694
181.36667	0.98968
181.40000	0.99419
181.41667	1.00305
181.43333	0.99806
181.45000	0.99902
181.45000	1.00160
181.45000	0.99290
181.46667	1.00224
181.46667	1.00482
181.46667	1.00901
181.50000	0.99822
181.51667	0.99789
181.55000	0.99822
181.58333	1.00418
181.60000	0.99451
181.61667	0.98774
181.61667	0.99870
181.61667	0.99612
181.63333	1.00982
181.63333	0.97888
181.65000	0.93490
181.65000	0.88898
181.66667	0.90751
181.66667	0.93571
181.66667	0.93119
181.68333	0.94618
181.68333	0.95439
181.68333	0.99806
181.68333	0.99886
181.68333	1.00176
181.68333	0.98114
181.68333	0.98211
181.68333	0.98001
181.68333	0.99226
181.68333	1.00321
181.68333	1.00273
181.68333	0.99419
181.68333	0.99806
181.70000	0.99145
181.73333	0.99177
181.78333	0.99596
181.81667	1.00514
181.86667	0.97212
181.90000	0.92491
181.90000	0.94876
181.90000	0.96116
181.90000	1.01449
181.90000	1.00901
181.91667	0.99177
181.91667	0.99902
181.91667	1.01368
181.91667	1.02206
181.91667	1.01078
181.91667	1.00514
181.93333	1.00788
181.95000	1.01336
181.95000	1.01078
181.96667	1.00498
181.96667	1.00321
181.98333	0.99789
182.00000	1.00353
182.00000	0.99806
182.01667	0.99371
182.03333	0.98033
182.05000	0.98323
182.05000	0.97389
182.06667	0.96970
182.06667	0.95794
182.08333	0.96261
182.08333	0.98420
182.10000	0.97792
182.11667	0.97985
182.11667	0.99193
182.11667	0.98968
182.11667	0.99499
182.13333	0.99612
182.13333	0.98613
182.13333	0.98903
182.15000	0.98694
182.18333	0.98436
182.20000	1.00643
182.20000	1.00579
182.21667	1.00804
182.23333	1.01948
182.25000	1.02013
182.28333	1.00917
182.31667	1.01803
182.33333	1.02142
182.33333	1.01868
182.35000	1.02222
182.35000	1.01884
182.36667	1.01320
182.36667	1.01288
182.40000	1.00482
182.41667	0.99016
182.43333	0.97260
182.45000	0.95021
182.45000	0.95762
182.45000	0.98356
182.46667	0.98033
182.48333	0.97518
182.48333	0.97695
182.50000	0.97663
182.51667	0.97453
182.55000	0.99354
182.56667	1.00063
182.58333	1.00289
182.60000	0.98791
182.61667	0.99371
182.61667	0.97453
182.63333	0.84677
182.63333	0.84822
182.65000	0.83759
182.66667	0.85644
182.66667	0.89768
182.68333	0.92217
182.68333	0.91041
182.70000	0.92878
182.71667	0.95504
182.75000	1.00273
182.78333	1.01014
182.83333	1.02416
182.86667	1.02222
182.91667	1.01787
182.95000	1.01981
182.96667	1.02142
182.98333	1.02931
183.00000	1.02109
183.01667	1.03447
183.01667	1.01223
183.05000	0.98823
183.06667	0.97840
183.08333	0.99951
183.11667	1.02126
183.13333	1.03576
183.16667	1.03978
183.20000	1.04510
183.21667	1.04977
183.25000	1.04671
183.26667	1.04816
183.26667	1.03914
183.28333	1.02899
183.30000	1.02512
183.31667	1.01191
183.33333	1.00547
183.35000	0.98887
183.36667	0.97711
183.38333	1.01078
183.38333	1.02802
183.40000	1.04542
183.41667	1.04816
183.43333	1.05251
183.46667	1.05573
183.48333	1.05090
183.48333	1.03302
183.50000	1.03833
183.50000	1.05316
183.51667	1.04977
183.53333	1.04719
183.56667	1.02657
183.58333	1.02867
183.61667	1.04156
183.65000	1.04784
183.66667	1.05155
183.68333	1.05783
183.68333	1.05203
183.70000	1.05187
183.70000	1.05412
183.71667	1.04574
183.71667	1.03833
183.71667	0.99209
183.71667	0.95343
183.71667	1.00917
183.71667	1.01981
183.71667	1.02851
183.71667	1.02448
183.73333	1.01771
183.73333	1.01691
183.73333	1.01336
183.73333	1.00547
183.73333	1.00531
183.73333	1.01368
183.75000	1.00676
183.75000	1.01223
183.75000	1.01175
183.75000	1.00547
183.75000	1.00321
183.75000	1.00418
183.75000	1.00321
183.76667	1.00257
183.76667	0.99757
183.78333	0.98952
183.80000	0.97776
183.83333	0.97695
183.86667	1.00112
183.91667	1.00208
183.93333	1.02448
183.93333	1.01288
183.93333	0.99161
183.93333	0.94134
