# Polarization of Light 'theta' Data File Tue, Jan 23, 2018 9:46 AM
# Sensor Position (Radians)	Light Intensity (Volts)
0.00000	3.77936
0.00000	3.77259
0.00000	3.77952
0.00000	3.77726
0.00000	3.77646
0.00000	3.77484
0.00000	3.77791
0.00000	3.77372
0.00000	3.77404
0.00000	3.77984
0.00000	3.77630
0.00000	3.77726
0.00000	3.78065
0.00000	3.77936
0.00000	3.77839
0.00000	3.77823
0.00000	3.78000
0.00000	3.77871
0.00000	3.77936
0.00000	3.77839
0.00000	3.77936
0.00000	3.77936
0.00000	3.77726
0.00000	3.77791
0.00000	3.77952
0.00000	3.77903
0.00000	3.77903
0.00000	3.77920
0.00000	3.78016
0.00000	3.78032
0.00000	3.77501
0.00000	3.77565
0.00000	3.77791
0.00000	3.77694
0.00000	3.78145
0.00000	3.78113
0.00000	3.77968
0.00000	3.77646
0.00000	3.77211
0.00000	3.78145
0.00000	3.77613
0.00000	3.77887
0.00000	3.77694
0.00000	3.77307
0.00000	3.77871
0.00000	3.77533
0.00000	3.77742
0.00000	3.77742
0.00000	3.77920
0.00000	3.77452
0.00000	3.77807
0.00000	3.77468
0.00000	3.77662
0.00000	3.78048
0.00000	3.77259
0.00000	3.77452
0.00000	3.77694
0.00000	3.77404
0.00000	3.78161
0.00000	3.78032
0.00000	3.77968
0.00000	3.77372
0.00000	3.77339
0.00000	3.77211
0.00000	3.77275
0.00000	3.77662
0.00000	3.77178
0.00000	3.77871
0.00000	3.77130
0.00000	3.77420
0.00000	3.77339
0.00000	3.77420
0.00000	3.77726
0.00000	3.77775
0.00000	3.77597
0.00000	3.78000
0.00000	3.77565
0.00000	3.77807
0.00000	3.77855
0.00000	3.78081
0.00000	3.77920
0.00000	3.77565
0.00000	3.77646
0.00000	3.77871
0.00000	3.77887
0.00000	3.77630
0.00000	3.77098
0.00000	3.77404
0.00000	3.77887
0.00000	3.77630
0.00000	3.77871
0.00000	3.77646
0.00000	3.77307
0.00000	3.77468
0.00000	3.77984
0.00000	3.77936
0.00000	3.78145
0.00000	3.78177
0.00000	3.78000
0.00000	3.78065
0.00000	3.77952
0.00000	3.78371
0.00000	3.77839
0.00000	3.78081
0.00000	3.78242
0.00000	3.77984
0.00000	3.78177
0.00000	3.78532
0.00000	3.79080
0.00000	3.79305
0.00000	3.78210
0.00000	3.78709
0.00000	3.79321
0.00000	3.79321
0.00000	3.80465
0.00000	3.81061
0.00000	3.80449
0.00000	3.80594
0.00000	3.80481
0.00000	3.80465
0.00000	3.80304
-0.02182	3.76792
-0.04800	3.72152
-0.05672	3.71104
-0.05672	3.71040
-0.05672	3.70798
-0.05672	3.70573
-0.05672	3.70186
-0.05672	3.69348
-0.05672	3.70122
-0.05672	3.69638
-0.05672	3.69090
-0.05672	3.69638
-0.05672	3.70444
-0.05672	3.69251
-0.05672	3.69058
-0.05672	3.68704
-0.05672	3.69993
-0.05672	3.68559
-0.05672	3.69429
-0.05672	3.70009
-0.05672	3.70089
-0.05672	3.70589
-0.05672	3.72103
-0.05672	3.72039
-0.05672	3.71056
-0.05672	3.70911
-0.05672	3.70589
-0.05672	3.70250
-0.05672	3.69928
-0.05672	3.70621
-0.05672	3.70589
-0.05672	3.71088
-0.05672	3.71217
-0.05672	3.71604
-0.05672	3.72683
-0.05672	3.72425
-0.05672	3.72570
-0.05672	3.72474
-0.05672	3.73569
-0.05672	3.74149
-0.05672	3.74182
-0.05672	3.73827
-0.05672	3.73666
-0.05672	3.73763
-0.05672	3.75374
-0.05672	3.75728
-0.05672	3.75825
-0.05672	3.75535
-0.05672	3.75906
-0.05672	3.75181
-0.06545	3.73408
-0.07418	3.73070
-0.07418	3.72764
-0.07418	3.73231
-0.07418	3.73038
-0.07418	3.73392
-0.07418	3.73231
-0.07418	3.73569
-0.07418	3.73328
-0.07418	3.73650
-0.07418	3.73682
-0.07418	3.73586
-0.07418	3.73005
-0.07418	3.73312
-0.07418	3.72764
-0.07418	3.72313
-0.07418	3.72877
-0.07418	3.72925
-0.07418	3.72554
-0.07418	3.72538
-0.07418	3.72200
-0.07418	3.72667
-0.07418	3.72232
-0.07418	3.72603
-0.07418	3.71829
-0.07418	3.72055
-0.07418	3.71926
-0.07418	3.71459
-0.07418	3.71942
-0.07418	3.72152
-0.07418	3.72538
-0.07418	3.72313
-0.07418	3.71572
-0.07418	3.71813
-0.07418	3.71878
-0.07418	3.71539
-0.07418	3.71523
-0.07418	3.71539
-0.07418	3.71330
-0.07418	3.71813
-0.07418	3.72119
-0.07418	3.72361
-0.07418	3.72264
-0.07418	3.71829
-0.07418	3.72522
-0.07418	3.71717
-0.07418	3.71394
-0.07418	3.71572
-0.09599	3.68156
-0.10472	3.68462
-0.10472	3.68140
-0.10472	3.68091
-0.10472	3.68204
-0.10472	3.67479
-0.10472	3.67495
-0.10472	3.67495
-0.10472	3.67383
-0.10472	3.67318
-0.10472	3.67366
-0.10472	3.67286
-0.10472	3.67302
-0.10472	3.67254
-0.10472	3.66835
-0.10472	3.67076
-0.10472	3.67205
-0.10472	3.67270
-0.10472	3.66722
-0.10472	3.66948
-0.10472	3.67125
-0.10472	3.67624
-0.10472	3.67447
-0.10472	3.67318
-0.10472	3.67769
-0.10472	3.67109
-0.10472	3.67205
-0.10472	3.67028
-0.10472	3.67157
-0.10472	3.66835
-0.10472	3.67254
-0.10472	3.67254
-0.10472	3.67044
-0.10472	3.66851
-0.10472	3.66529
-0.10472	3.67318
-0.10472	3.67286
-0.10472	3.67350
-0.10472	3.67544
-0.10472	3.66464
-0.10472	3.65546
-0.10472	3.66368
-0.10472	3.66029
-0.10472	3.66271
-0.10472	3.65401
-0.10472	3.65401
-0.10472	3.64772
-0.10472	3.65063
-0.10472	3.64531
-0.10472	3.63838
-0.10472	3.64499
-0.10472	3.64015
-0.10472	3.64176
-0.10472	3.63854
-0.10472	3.64450
-0.10472	3.64515
-0.10472	3.63757
-0.10472	3.63902
-0.10472	3.63870
-0.10472	3.63999
-0.10472	3.64080
-0.10472	3.64789
-0.10472	3.64273
-0.10472	3.64370
-0.10472	3.64176
-0.10472	3.64724
-0.10472	3.64837
-0.10472	3.64837
-0.10472	3.64644
-0.10472	3.64096
-0.10472	3.64112
-0.10472	3.64482
-0.10472	3.65111
-0.10472	3.64950
-0.10472	3.65804
-0.10472	3.66432
-0.12654	3.64144
-0.13090	3.63467
-0.13090	3.63983
-0.14399	3.62952
-0.16144	3.61502
-0.16144	3.61099
-0.16144	3.60664
-0.16144	3.60680
-0.16144	3.60293
-0.16144	3.60229
-0.16144	3.59617
-0.16144	3.58972
-0.16144	3.58860
-0.16144	3.59230
-0.16144	3.59375
-0.16144	3.59939
-0.16144	3.59649
-0.16144	3.59585
-0.16144	3.60358
-0.16144	3.60326
-0.16144	3.59327
-0.16144	3.58988
-0.16144	3.58280
-0.16144	3.59053
-0.16144	3.59939
-0.16144	3.60374
-0.16144	3.59713
-0.16144	3.59295
-0.16144	3.58876
-0.16144	3.59585
-0.16144	3.60116
-0.16144	3.60922
-0.16144	3.60954
-0.16144	3.59842
-0.16144	3.58988
-0.16144	3.59456
-0.16144	3.60406
-0.16144	3.59875
-0.16144	3.59794
-0.16144	3.59552
-0.16144	3.60310
-0.16144	3.60680
-0.16144	3.60874
-0.16144	3.60406
-0.16144	3.61905
-0.18326	3.60245
-0.18326	3.60680
-0.18326	3.60342
-0.18326	3.60390
-0.18326	3.60165
-0.19199	3.59133
-0.19199	3.58988
-0.19199	3.58860
-0.19199	3.58682
-0.19199	3.58553
-0.19199	3.58457
-0.19199	3.58135
-0.19199	3.57700
-0.19199	3.57200
-0.19199	3.57522
-0.19199	3.57845
-0.19199	3.57973
-0.19199	3.57345
-0.19199	3.57828
-0.19199	3.57603
-0.19199	3.56942
-0.19199	3.57780
-0.19199	3.58151
-0.19199	3.57780
-0.19199	3.58006
-0.19199	3.57893
-0.19199	3.57522
-0.19199	3.57522
-0.19199	3.57071
-0.19199	3.57732
-0.19199	3.57377
-0.19199	3.57716
-0.19199	3.57587
-0.19199	3.58553
-0.19199	3.58457
-0.19199	3.58183
-0.19199	3.58038
-0.19199	3.58167
-0.19199	3.58231
-0.19199	3.58215
-0.19199	3.58473
-0.19199	3.58650
-0.19199	3.58118
-0.19199	3.58247
-0.19199	3.58892
-0.19199	3.58360
-0.19199	3.59005
-0.19199	3.58779
-0.20508	3.60245
-0.20944	3.59939
-0.20944	3.58940
-0.20944	3.58247
-0.20944	3.59150
-0.20944	3.58892
-0.20944	3.58811
-0.20944	3.59875
-0.20944	3.59295
-0.20944	3.59939
-0.20944	3.59633
-0.20944	3.60148
-0.20944	3.59713
-0.20944	3.59955
-0.20944	3.60406
-0.20944	3.60116
-0.20944	3.60100
-0.20944	3.60326
-0.20944	3.60068
-0.20944	3.60020
-0.20944	3.59939
-0.20944	3.60406
-0.20944	3.59907
-0.20944	3.60455
-0.20944	3.60648
-0.20944	3.60857
-0.20944	3.60841
-0.20944	3.60551
-0.20944	3.60567
-0.20944	3.60245
-0.20944	3.61019
-0.23562	3.54671
-0.23998	3.54622
-0.23998	3.55138
-0.23998	3.54993
-0.23998	3.54977
-0.23998	3.54654
-0.23998	3.54171
-0.23998	3.52963
-0.23998	3.52512
-0.23998	3.52592
-0.23998	3.52222
-0.23998	3.51674
-0.23998	3.51271
-0.23998	3.51368
-0.23998	3.50659
-0.23998	3.50433
-0.23998	3.50353
-0.23998	3.50288
-0.23998	3.50723
-0.23998	3.50723
-0.23998	3.50047
-0.23998	3.50433
-0.23998	3.49354
-0.23998	3.48870
-0.23998	3.46180
-0.23998	3.47775
-0.23998	3.48758
-0.23998	3.50175
-0.23998	3.50095
-0.23998	3.49966
-0.23998	3.49402
-0.23998	3.50030
-0.23998	3.50014
-0.23998	3.49918
-0.23998	3.50030
-0.23998	3.49595
-0.23998	3.48774
-0.23998	3.49547
-0.23998	3.49998
-0.23998	3.49869
-0.23998	3.49998
-0.23998	3.49740
-0.23998	3.48983
-0.23998	3.49483
-0.23998	3.48742
-0.23998	3.49499
-0.23998	3.49483
-0.23998	3.50304
-0.23998	3.50175
-0.23998	3.49740
-0.23998	3.50079
-0.23998	3.49869
-0.23998	3.49724
-0.26616	3.45664
-0.29234	3.41024
-0.29671	3.39252
-0.29671	3.39010
-0.29671	3.39929
-0.30980	3.37560
-0.33161	3.33291
-0.34034	3.30632
-0.34470	3.29746
-0.34470	3.29585
-0.34470	3.29472
-0.34470	3.29005
-0.34470	3.30052
-0.34470	3.29633
